model_id,model_code,project_id,dataset_id,dataset_version,name,model_type,version,dataset_version_status,accuracy,f1_score,false_alarm_rate,deployment_status,code_commit,artifact_path,hyperparameters
MDL-0011,MODEL-MACHINE-VI-011,PJ-0007,DS-0026,v04,Synthetic Machine vision Model 011,RandomForest,v11,current,0.844,0.662,0.095,pilot,d2a8c8ddcd0d,minio://synthetic-dais/models/MDL-0011/,"{""lr"": 0.00871, ""epochs"": 66, ""batch_size"": 16}"
MDL-0012,MODEL-SYSTEM-ANO-012,PJ-0008,DS-0016,v04,Synthetic System anomaly detection Model 012,RandomForest,v03,current,0.89,0.701,0.09,pilot,c56144b2b886,minio://synthetic-dais/models/MDL-0012/,"{""lr"": 0.00345, ""epochs"": 98, ""batch_size"": 32}"
MDL-0013,MODEL-HYDRAULIC--013,PJ-0002,DS-0037,v02,Synthetic Hydraulic quality monitoring Model 013,DigitalTwinSimulator,v11,current,0.81,0.754,0.132,archived,e04bc4565842,minio://synthetic-dais/models/MDL-0013/,"{""lr"": 0.00874, ""epochs"": 14, ""batch_size"": 64}"
MDL-0014,MODEL-HYDRAULIC--014,PJ-0002,DS-0031,v01,Synthetic Hydraulic quality monitoring Model 014,RandomForest,v11,current,0.989,0.896,0.084,research,925e81f50d5b,minio://synthetic-dais/models/MDL-0014/,"{""lr"": 0.00763, ""epochs"": 100, ""batch_size"": 16}"
MDL-0015,MODEL-SYSTEM-ANO-015,PJ-0008,DS-0020,v03,Synthetic System anomaly detection Model 015,RandomForest,v05,current,0.713,0.913,0.06,pilot,b830b437c00f,minio://synthetic-dais/models/MDL-0015/,"{""lr"": 0.00436, ""epochs"": 41, ""batch_size"": 64}"
MDL-0016,MODEL-MACHINE-VI-016,PJ-0007,DS-0033,v01,Synthetic Machine vision Model 016,RandomForest,v03,outdated,0.723,0.937,0.115,demo,05e77d42b7d9,minio://synthetic-dais/models/MDL-0016/,"{""lr"": 0.00503, ""epochs"": 84, ""batch_size"": 16}"
MDL-0017,MODEL-CYBER-PHYS-017,PJ-0004,DS-0045,v04,Synthetic Cyber-physical systems Model 017,RandomForest,v05,current,0.893,0.947,0.089,pilot,6348fe813369,minio://synthetic-dais/models/MDL-0017/,"{""lr"": 0.00681, ""epochs"": 30, ""batch_size"": 16}"
MDL-0018,MODEL-SYSTEM-ANO-018,PJ-0008,DS-0021,v03,Synthetic System anomaly detection Model 018,NormalizingFlow,v05,current,0.823,0.733,0.154,demo,ceee8228c7cc,minio://synthetic-dais/models/MDL-0018/,"{""lr"": 0.00999, ""epochs"": 71, ""batch_size"": 16}"
MDL-0019,MODEL-CYBER-PHYS-019,PJ-0004,DS-0045,v04,Synthetic Cyber-physical systems Model 019,NormalizingFlow,v06,current,0.988,0.747,0.176,archived,3072d95a7f9b,minio://synthetic-dais/models/MDL-0019/,"{""lr"": 0.00282, ""epochs"": 82, ""batch_size"": 64}"
MDL-0020,MODEL-BESS-SAFET-020,PJ-0001,DS-0029,v01,Synthetic BESS safety AI Model 020,RandomForest,v08,current,0.962,0.906,0.049,pilot,1dfff46ef0e8,minio://synthetic-dais/models/MDL-0020/,"{""lr"": 0.00227, ""epochs"": 34, ""batch_size"": 64}"
MDL-0021,MODEL-SEMICONDUC-021,PJ-0005,DS-0003,v03,Synthetic Semiconductor digital twin Model 021,RandomForest,v02,current,0.887,0.752,0.085,pilot,276354c65a0e,minio://synthetic-dais/models/MDL-0021/,"{""lr"": 0.00735, ""epochs"": 21, ""batch_size"": 32}"
MDL-0022,MODEL-PROCESS-MI-022,PJ-0006,DS-0028,v04,Synthetic Process mining Model 022,XGBoost,v03,outdated,0.928,0.939,0.072,pilot,f1a0e77ca192,minio://synthetic-dais/models/MDL-0022/,"{""lr"": 0.00832, ""epochs"": 42, ""batch_size"": 32}"
MDL-0023,MODEL-SEMICONDUC-023,PJ-0005,DS-0004,v01,Synthetic Semiconductor digital twin Model 023,DigitalTwinSimulator,v02,current,0.722,0.899,0.048,archived,b6fa87ff58e5,minio://synthetic-dais/models/MDL-0023/,"{""lr"": 0.00968, ""epochs"": 81, ""batch_size"": 32}"
MDL-0024,MODEL-HYDRAULIC--024,PJ-0002,DS-0038,v03,Synthetic Hydraulic quality monitoring Model 024,CNN,v05,current,0.832,0.872,0.124,archived,7aa23783ed45,minio://synthetic-dais/models/MDL-0024/,"{""lr"": 0.00824, ""epochs"": 57, ""batch_size"": 16}"
MDL-0025,MODEL-CYBER-PHYS-025,PJ-0004,DS-0045,v04,Synthetic Cyber-physical systems Model 025,CNN,v10,current,0.863,0.952,0.048,research,034a5ac13628,minio://synthetic-dais/models/MDL-0025/,"{""lr"": 0.00639, ""epochs"": 69, ""batch_size"": 64}"
MDL-0026,MODEL-SEMICONDUC-026,PJ-0005,DS-0015,v03,Synthetic Semiconductor digital twin Model 026,CNN,v03,outdated,0.711,0.979,0.03,demo,94cdffa8576e,minio://synthetic-dais/models/MDL-0026/,"{""lr"": 0.00888, ""epochs"": 27, ""batch_size"": 32}"
MDL-0027,MODEL-SYSTEM-ANO-027,PJ-0008,DS-0021,v03,Synthetic System anomaly detection Model 027,RandomForest,v12,current,0.857,0.844,0.134,archived,f9ebc11f2ac2,minio://synthetic-dais/models/MDL-0027/,"{""lr"": 0.00658, ""epochs"": 72, ""batch_size"": 64}"
MDL-0028,MODEL-MACHINE-VI-028,PJ-0007,DS-0014,v02,Synthetic Machine vision Model 028,CNN,v12,current,0.829,0.964,0.155,research,ddd4243487a9,minio://synthetic-dais/models/MDL-0028/,"{""lr"": 0.00981, ""epochs"": 57, ""batch_size"": 64}"
MDL-0029,MODEL-PROCESS-MI-029,PJ-0006,DS-0007,v04,Synthetic Process mining Model 029,XGBoost,v05,outdated,0.735,0.93,0.087,demo,5e571de3d0c0,minio://synthetic-dais/models/MDL-0029/,"{""lr"": 0.00645, ""epochs"": 86, ""batch_size"": 16}"
MDL-0030,MODEL-BESS-SAFET-030,PJ-0001,DS-0027,v02,Synthetic BESS safety AI Model 030,LSTM,v03,current,0.76,0.924,0.104,demo,3b365277fab0,minio://synthetic-dais/models/MDL-0030/,"{""lr"": 0.00815, ""epochs"": 39, ""batch_size"": 32}"
MDL-0031,MODEL-WELDING-IN-031,PJ-0003,DS-0005,v04,Synthetic Welding inspection AI Model 031,Transformer,v03,current,0.857,0.914,0.029,research,d8d75f43326d,minio://synthetic-dais/models/MDL-0031/,"{""lr"": 0.0014, ""epochs"": 55, ""batch_size"": 16}"
MDL-0032,MODEL-PROCESS-MI-032,PJ-0006,DS-0007,v04,Synthetic Process mining Model 032,LSTM,v05,outdated,0.915,0.824,0.137,archived,564cf3f61236,minio://synthetic-dais/models/MDL-0032/,"{""lr"": 0.00454, ""epochs"": 56, ""batch_size"": 64}"
MDL-0033,MODEL-HYDRAULIC--033,PJ-0002,DS-0046,v02,Synthetic Hydraulic quality monitoring Model 033,NormalizingFlow,v04,current,0.713,0.908,0.157,pilot,29bc447790ab,minio://synthetic-dais/models/MDL-0033/,"{""lr"": 0.00463, ""epochs"": 13, ""batch_size"": 16}"
MDL-0034,MODEL-SYSTEM-ANO-034,PJ-0008,DS-0036,v03,Synthetic System anomaly detection Model 034,XGBoost,v07,current,0.842,0.95,0.022,research,b6c9213c748d,minio://synthetic-dais/models/MDL-0034/,"{""lr"": 0.00329, ""epochs"": 28, ""batch_size"": 16}"
MDL-0035,MODEL-WELDING-IN-035,PJ-0003,DS-0041,v02,Synthetic Welding inspection AI Model 035,NormalizingFlow,v11,current,0.907,0.776,0.112,pilot,f29d4295164f,minio://synthetic-dais/models/MDL-0035/,"{""lr"": 0.00459, ""epochs"": 87, ""batch_size"": 32}"
MDL-0036,MODEL-HYDRAULIC--036,PJ-0002,DS-0018,v04,Synthetic Hydraulic quality monitoring Model 036,DigitalTwinSimulator,v11,current,0.923,0.888,0.047,archived,0c5a572d75e6,minio://synthetic-dais/models/MDL-0036/,"{""lr"": 0.00889, ""epochs"": 62, ""batch_size"": 32}"
MDL-0037,MODEL-SYSTEM-ANO-037,PJ-0008,DS-0022,v03,Synthetic System anomaly detection Model 037,XGBoost,v12,outdated,0.824,0.869,0.074,demo,24c15e0096ce,minio://synthetic-dais/models/MDL-0037/,"{""lr"": 0.0069, ""epochs"": 70, ""batch_size"": 16}"
MDL-0038,MODEL-HYDRAULIC--038,PJ-0002,DS-0018,v04,Synthetic Hydraulic quality monitoring Model 038,CNN,v07,outdated,0.914,0.918,0.105,pilot,6d6e3ace8511,minio://synthetic-dais/models/MDL-0038/,"{""lr"": 0.00673, ""epochs"": 62, ""batch_size"": 32}"
MDL-0039,MODEL-MACHINE-VI-039,PJ-0007,DS-0050,v01,Synthetic Machine vision Model 039,RandomForest,v01,current,0.874,0.766,0.108,demo,feb1ef84d229,minio://synthetic-dais/models/MDL-0039/,"{""lr"": 0.00163, ""epochs"": 71, ""batch_size"": 16}"
MDL-0040,MODEL-HYDRAULIC--040,PJ-0002,DS-0037,v02,Synthetic Hydraulic quality monitoring Model 040,DigitalTwinSimulator,v09,current,0.921,0.839,0.147,research,11abc0ec0666,minio://synthetic-dais/models/MDL-0040/,"{""lr"": 0.00613, ""epochs"": 94, ""batch_size"": 64}"
