log_id,project_id,equipment_id,timestamp,pressure_bar,flow_rate_lpm,cylinder_stroke_mm,quality_label,anomaly_flag
HYD-0027,PJ-0002,EQ-0011,2026-04-02T03:00:00,138.8,18.23,162.0,pass,False
HYD-0028,PJ-0002,EQ-0014,2026-04-02T04:00:00,218.3,77.58,140.6,pass,False
HYD-0029,PJ-0002,EQ-0018,2026-04-02T05:00:00,99.2,77.94,229.2,pass,False
HYD-0030,PJ-0002,EQ-0006,2026-04-02T06:00:00,193.0,36.7,324.2,pass,False
HYD-0031,PJ-0002,EQ-0017,2026-04-02T07:00:00,262.5,66.47,407.1,pass,False
HYD-0032,PJ-0002,EQ-0001,2026-04-02T08:00:00,262.9,37.05,87.5,pass,False
HYD-0033,PJ-0002,EQ-0014,2026-04-02T09:00:00,222.8,16.46,377.0,pass,False
HYD-0034,PJ-0002,EQ-0014,2026-04-02T10:00:00,171.3,27.94,177.5,pass,False
HYD-0035,PJ-0002,EQ-0020,2026-04-02T11:00:00,225.4,10.4,111.5,pass,False
HYD-0036,PJ-0002,EQ-0018,2026-04-02T12:00:00,127.0,73.71,51.9,pass,False
HYD-0037,PJ-0002,EQ-0020,2026-04-02T13:00:00,255.3,33.07,232.0,pass,False
HYD-0038,PJ-0002,EQ-0017,2026-04-02T14:00:00,305.7,77.79,217.9,fail,True
HYD-0039,PJ-0002,EQ-0018,2026-04-02T15:00:00,153.9,79.06,82.1,pass,False
HYD-0040,PJ-0002,EQ-0001,2026-04-02T16:00:00,318.2,14.34,469.5,fail,True
HYD-0041,PJ-0002,EQ-0006,2026-04-02T17:00:00,126.6,37.72,164.9,pass,False
HYD-0042,PJ-0002,EQ-0016,2026-04-02T18:00:00,202.3,41.65,359.8,pass,False
HYD-0043,PJ-0002,EQ-0001,2026-04-02T19:00:00,236.2,74.49,381.0,pass,False
HYD-0044,PJ-0002,EQ-0011,2026-04-02T20:00:00,194.7,74.11,212.6,pass,False
HYD-0045,PJ-0002,EQ-0001,2026-04-02T21:00:00,247.4,53.4,167.6,pass,False
HYD-0046,PJ-0002,EQ-0018,2026-04-02T22:00:00,306.6,16.05,161.3,fail,True
HYD-0047,PJ-0002,EQ-0006,2026-04-02T23:00:00,83.0,62.82,340.0,pass,False
HYD-0048,PJ-0002,EQ-0017,2026-04-03T00:00:00,175.4,48.96,455.4,pass,False
HYD-0049,PJ-0002,EQ-0020,2026-04-03T01:00:00,298.4,70.7,124.6,fail,True
HYD-0050,PJ-0002,EQ-0017,2026-04-03T02:00:00,140.7,27.67,485.5,pass,False
HYD-0051,PJ-0002,EQ-0017,2026-04-03T03:00:00,220.7,60.05,388.6,pass,False
HYD-0052,PJ-0002,EQ-0003,2026-04-03T04:00:00,106.2,47.95,408.9,pass,False
HYD-0053,PJ-0002,EQ-0006,2026-04-03T05:00:00,144.6,20.71,386.7,pass,False
HYD-0054,PJ-0002,EQ-0014,2026-04-03T06:00:00,81.5,17.63,271.3,pass,False
HYD-0055,PJ-0002,EQ-0003,2026-04-03T07:00:00,96.8,57.22,286.2,pass,False
HYD-0056,PJ-0002,EQ-0014,2026-04-03T08:00:00,255.9,17.8,218.6,pass,False
HYD-0057,PJ-0002,EQ-0006,2026-04-03T09:00:00,127.5,18.65,476.8,pass,False
HYD-0058,PJ-0002,EQ-0018,2026-04-03T10:00:00,216.1,20.94,140.4,pass,False
HYD-0059,PJ-0002,EQ-0006,2026-04-03T11:00:00,274.2,19.39,492.3,pass,False
HYD-0060,PJ-0002,EQ-0017,2026-04-03T12:00:00,185.8,73.47,99.1,pass,False
HYD-0061,PJ-0002,EQ-0006,2026-04-03T13:00:00,99.2,11.43,106.1,pass,False
HYD-0062,PJ-0002,EQ-0003,2026-04-03T14:00:00,162.1,48.92,265.1,pass,False
HYD-0063,PJ-0002,EQ-0003,2026-04-03T15:00:00,82.3,24.96,479.8,pass,False
HYD-0064,PJ-0002,EQ-0001,2026-04-03T16:00:00,103.2,44.18,53.3,pass,False
HYD-0065,PJ-0002,EQ-0020,2026-04-03T17:00:00,316.9,62.1,469.5,fail,True
HYD-0066,PJ-0002,EQ-0018,2026-04-03T18:00:00,261.7,50.33,201.4,pass,False
HYD-0067,PJ-0002,EQ-0016,2026-04-03T19:00:00,319.9,66.26,473.4,fail,True
HYD-0068,PJ-0002,EQ-0017,2026-04-03T20:00:00,170.8,9.29,210.2,pass,False
HYD-0069,PJ-0002,EQ-0016,2026-04-03T21:00:00,273.5,5.23,441.7,fail,True
HYD-0070,PJ-0002,EQ-0017,2026-04-03T22:00:00,254.1,71.6,112.5,pass,False
HYD-0071,PJ-0002,EQ-0003,2026-04-03T23:00:00,288.6,25.96,364.7,fail,True
HYD-0072,PJ-0002,EQ-0011,2026-04-04T00:00:00,168.4,51.38,346.5,pass,False
HYD-0073,PJ-0002,EQ-0018,2026-04-04T01:00:00,203.6,54.52,51.4,pass,False
HYD-0074,PJ-0002,EQ-0016,2026-04-04T02:00:00,84.0,32.02,70.6,pass,False
HYD-0075,PJ-0002,EQ-0016,2026-04-04T03:00:00,242.7,22.52,268.0,pass,False
HYD-0076,PJ-0002,EQ-0003,2026-04-04T04:00:00,163.6,75.43,473.7,pass,False
HYD-0077,PJ-0002,EQ-0018,2026-04-04T05:00:00,316.8,69.28,457.3,fail,True
HYD-0078,PJ-0002,EQ-0017,2026-04-04T06:00:00,150.5,19.63,114.4,pass,False
HYD-0079,PJ-0002,EQ-0020,2026-04-04T07:00:00,290.3,63.86,372.5,fail,True
HYD-0080,PJ-0002,EQ-0001,2026-04-04T08:00:00,110.7,64.76,185.6,pass,False
HYD-0081,PJ-0002,EQ-0020,2026-04-04T09:00:00,316.9,40.01,453.4,fail,True
HYD-0082,PJ-0002,EQ-0003,2026-04-04T10:00:00,195.7,45.55,159.5,pass,False
HYD-0083,PJ-0002,EQ-0006,2026-04-04T11:00:00,260.8,54.48,90.2,pass,False
HYD-0084,PJ-0002,EQ-0017,2026-04-04T12:00:00,318.4,7.19,468.1,fail,True
HYD-0085,PJ-0002,EQ-0016,2026-04-04T13:00:00,296.6,62.47,149.2,fail,True
HYD-0086,PJ-0002,EQ-0014,2026-04-04T14:00:00,239.8,76.36,351.8,pass,False
HYD-0087,PJ-0002,EQ-0006,2026-04-04T15:00:00,301.5,52.52,271.4,fail,True
HYD-0088,PJ-0002,EQ-0016,2026-04-04T16:00:00,289.3,74.88,394.9,fail,True
HYD-0089,PJ-0002,EQ-0003,2026-04-04T17:00:00,234.6,33.28,372.8,pass,False
HYD-0090,PJ-0002,EQ-0017,2026-04-04T18:00:00,236.9,63.88,484.8,pass,False
HYD-0091,PJ-0002,EQ-0017,2026-04-04T19:00:00,274.0,21.77,102.1,pass,False
HYD-0092,PJ-0002,EQ-0003,2026-04-04T20:00:00,106.7,30.52,316.5,pass,False
HYD-0093,PJ-0002,EQ-0011,2026-04-04T21:00:00,258.7,13.71,215.5,pass,False
HYD-0094,PJ-0002,EQ-0016,2026-04-04T22:00:00,309.0,48.27,50.8,fail,True
HYD-0095,PJ-0002,EQ-0001,2026-04-04T23:00:00,221.6,19.24,224.7,pass,False
HYD-0096,PJ-0002,EQ-0017,2026-04-05T00:00:00,156.7,32.38,355.7,pass,False
HYD-0097,PJ-0002,EQ-0006,2026-04-05T01:00:00,204.7,50.12,150.0,pass,False
HYD-0098,PJ-0002,EQ-0017,2026-04-05T02:00:00,82.2,68.93,192.2,pass,False
HYD-0099,PJ-0002,EQ-0014,2026-04-05T03:00:00,280.9,42.49,255.1,fail,True
HYD-0100,PJ-0002,EQ-0014,2026-04-05T04:00:00,115.0,54.9,410.6,pass,False
