attempt_id,actor_person_id,actor_role,resource_type,resource_id,sensitivity_level,timestamp,result,ip_address
ACC-0022,P-0014,Researcher,Dataset,DS-0018,medium,2026-05-09T20:06:00,granted,192.168.1.42
ACC-0023,P-0025,Researcher,Dataset,DS-0026,low,2026-05-15T20:43:00,granted,192.168.1.40
ACC-0024,P-0025,Researcher,Dataset,DS-0050,medium,2026-05-07T16:21:00,granted,192.168.1.96
ACC-0025,P-0009,Researcher,Dataset,DS-0021,low,2026-05-18T08:43:00,granted,192.168.1.11
ACC-0026,P-0006,Researcher,Dataset,DS-0001,medium,2026-05-14T09:33:00,granted,192.168.1.23
ACC-0027,P-0019,Researcher,Dataset,DS-0023,high,2026-05-08T19:18:00,granted,192.168.1.42
ACC-0028,P-0010,Researcher,Dataset,DS-0003,medium,2026-05-01T17:05:00,granted,192.168.1.17
ACC-0029,P-0010,Researcher,Dataset,DS-0039,medium,2026-05-21T09:45:00,granted,192.168.1.25
ACC-0030,P-0006,Researcher,Dataset,DS-0039,medium,2026-05-05T14:42:00,granted,192.168.1.92
ACC-0031,P-0024,Guest,Dataset,DS-0048,high,2026-05-29T09:44:00,denied,10.0.0.12
ACC-0032,P-0021,Guest,Dataset,DS-0009,medium,2026-05-15T18:59:00,denied,10.0.0.5
ACC-0033,P-0024,Guest,Dataset,DS-0035,medium,2026-05-30T12:49:00,denied,10.0.0.28
ACC-0034,P-0024,Guest,Dataset,DS-0011,medium,2026-05-09T10:49:00,denied,10.0.0.5
ACC-0035,P-0021,Guest,Dataset,DS-0015,high,2026-05-13T14:21:00,denied,10.0.0.4
ACC-0036,P-0021,Guest,Dataset,DS-0004,medium,2026-05-06T15:04:00,denied,10.0.0.32
ACC-0037,P-0018,Guest,Dataset,DS-0028,medium,2026-05-06T18:31:00,denied,10.0.0.7
ACC-0038,P-0018,Guest,Dataset,DS-0042,medium,2026-05-25T14:13:00,denied,10.0.0.40
ACC-0039,P-0024,Guest,Dataset,DS-0032,high,2026-05-30T15:45:00,denied,10.0.0.17
ACC-0040,P-0018,Guest,Dataset,DS-0014,high,2026-05-03T09:36:00,denied,10.0.0.47
ACC-0041,P-0021,Guest,Dataset,DS-0034,medium,2026-05-01T15:09:00,denied,10.0.0.42
ACC-0042,P-0024,Guest,Dataset,DS-0007,high,2026-05-30T08:42:00,denied,10.0.0.25
ACC-0043,P-0021,Guest,Dataset,DS-0037,high,2026-05-23T13:57:00,denied,10.0.0.26
ACC-0044,P-0024,Guest,Dataset,DS-0007,high,2026-05-17T19:49:00,denied,10.0.0.32
ACC-0045,P-0021,Guest,Dataset,DS-0030,medium,2026-05-13T19:49:00,denied,10.0.0.5
ACC-0046,P-0024,Guest,Dataset,DS-0002,medium,2026-05-01T14:44:00,denied,10.0.0.50
ACC-0047,P-0021,Guest,Dataset,DS-0033,high,2026-05-19T16:59:00,denied,10.0.0.23
ACC-0048,P-0021,Guest,Dataset,DS-0010,medium,2026-05-13T08:40:00,denied,10.0.0.42
ACC-0049,P-0018,Guest,Dataset,DS-0020,medium,2026-05-18T13:05:00,denied,10.0.0.30
ACC-0050,P-0021,Guest,Dataset,DS-0049,high,2026-05-06T16:02:00,denied,10.0.0.25
ACC-0051,SystemAgent,SystemAgent,Dataset,DS-0043,low,2026-05-07T12:44:00,granted,127.0.0.1
ACC-0052,SystemAgent,SystemAgent,Dataset,DS-0025,low,2026-05-29T09:40:00,granted,127.0.0.1
ACC-0053,SystemAgent,SystemAgent,Dataset,DS-0045,medium,2026-05-12T15:05:00,granted,127.0.0.1
ACC-0054,SystemAgent,SystemAgent,Dataset,DS-0041,medium,2026-05-15T19:12:00,granted,127.0.0.1
ACC-0055,SystemAgent,SystemAgent,Dataset,DS-0009,medium,2026-05-02T11:01:00,granted,127.0.0.1
ACC-0056,SystemAgent,SystemAgent,Dataset,DS-0047,low,2026-05-19T11:31:00,granted,127.0.0.1
ACC-0057,SystemAgent,SystemAgent,Dataset,DS-0025,low,2026-05-03T20:34:00,granted,127.0.0.1
ACC-0058,SystemAgent,SystemAgent,Dataset,DS-0042,medium,2026-05-10T15:34:00,granted,127.0.0.1
ACC-0059,SystemAgent,SystemAgent,Dataset,DS-0029,medium,2026-05-31T08:02:00,granted,127.0.0.1
ACC-0060,SystemAgent,SystemAgent,Dataset,DS-0022,high,2026-05-02T13:50:00,granted,127.0.0.1
ACC-0061,SystemAgent,SystemAgent,Dataset,DS-0047,low,2026-05-02T14:07:00,granted,127.0.0.1
ACC-0062,SystemAgent,SystemAgent,Dataset,DS-0014,high,2026-05-26T18:42:00,granted,127.0.0.1
ACC-0063,SystemAgent,SystemAgent,Dataset,DS-0034,medium,2026-05-15T18:55:00,granted,127.0.0.1
ACC-0064,SystemAgent,SystemAgent,Dataset,DS-0035,medium,2026-05-05T19:37:00,granted,127.0.0.1
ACC-0065,SystemAgent,SystemAgent,Dataset,DS-0015,high,2026-05-30T09:02:00,granted,127.0.0.1
ACC-0066,SystemAgent,SystemAgent,Dataset,DS-0048,high,2026-05-05T15:41:00,granted,127.0.0.1
ACC-0067,SystemAgent,SystemAgent,Dataset,DS-0002,medium,2026-05-16T17:02:00,granted,127.0.0.1
ACC-0068,SystemAgent,SystemAgent,Dataset,DS-0016,low,2026-05-23T18:08:00,granted,127.0.0.1
ACC-0069,SystemAgent,SystemAgent,Dataset,DS-0001,medium,2026-05-06T18:03:00,granted,127.0.0.1
ACC-0070,SystemAgent,SystemAgent,Dataset,DS-0020,medium,2026-05-27T20:06:00,granted,127.0.0.1
