invoice_id,invoice_code,supplier_name,business_registration_no,project_id,purchase_request_id,amount_krw,vat_krw,issue_date,source_file,confidence
INV-0031,INV-2026-0031,Ulsan Sensors Ltd.,583-34-75598,,PR-0061,5070413,507041,2026-05-01,synthetic_invoice_0031.pdf,0.92
INV-0032,INV-2026-0032,Korea Vision Systems,305-53-63633,PJ-0004,PR-0049,1364821,136482,2026-08-24,synthetic_invoice_0032.pdf,0.93
INV-0033,INV-2026-0033,Ulsan Sensors Ltd.,599-52-92710,PJ-0008,PR-0059,4998854,499885,2026-05-16,synthetic_invoice_0033.pdf,0.68
INV-0034,INV-2026-0034,Korea Vision Systems,601-21-26961,,PR-0008,1514367,151436,2026-09-05,synthetic_invoice_0034.pdf,0.74
INV-0035,INV-2026-0035,Ulsan Sensor Co.,646-35-58903,PJ-0008,PR-0055,4719511,471951,2026-04-04,synthetic_invoice_0035.pdf,0.93
INV-0036,INV-2026-0036,Busan Industrial AI Tools,331-98-55134,PJ-0006,PR-0068,5040471,504047,2026-06-19,synthetic_invoice_0036.pdf,0.61
INV-0037,INV-2026-0037,Ulsan Sensor Co.,405-47-69759,PJ-0004,PR-0050,3460323,346032,2026-10-04,synthetic_invoice_0037.pdf,0.77
INV-0038,INV-2026-0038,Synthetic Data Services Korea,467-34-31611,PJ-0006,PR-0068,2975051,297505,2026-10-25,synthetic_invoice_0038.pdf,0.72
INV-0039,INV-2026-0039,Ulsan Sensor Co.,703-74-32149,PJ-0001,PR-0030,125102892,12510289,2026-05-02,synthetic_invoice_0039.pdf,0.71
INV-0040,INV-2026-0040,Ulsan Sensor Co.,708-16-96765,PJ-0003,PR-0005,5327233,532723,2026-04-28,synthetic_invoice_0040.pdf,0.83
INV-0041,INV-2026-0041,Ulsan Sensors Ltd.,660-42-72180,,,4171309,417130,2026-09-27,synthetic_invoice_0041.pdf,0.62
INV-0042,INV-2026-0042,Daejeon Simulation Works,737-87-27978,PJ-0007,PR-0002,4249969,424996,2026-07-17,synthetic_invoice_0042.pdf,0.91
INV-0043,INV-2026-0043,Ulsan Sensors Ltd.,609-35-89823,PJ-0007,PR-0014,1272980,127298,2026-05-22,synthetic_invoice_0043.pdf,0.88
INV-0044,INV-2026-0044,Korea Vision Systems,140-80-75058,PJ-0005,PR-0067,1421238,142123,2026-05-24,synthetic_invoice_0044.pdf,0.85
INV-0045,INV-2026-0045,Ulsan Sensors Ltd.,955-83-97690,PJ-0003,,1679018,167901,2026-08-05,synthetic_invoice_0045.pdf,0.61
INV-0046,INV-2026-0046,Daejeon Simulation Works,759-39-69867,PJ-0003,,1887238,188723,2026-06-15,synthetic_invoice_0046.pdf,0.66
INV-0047,INV-2026-0047,Daejeon Simulation Works,468-96-50987,,PR-0007,2064140,206414,2026-07-19,synthetic_invoice_0047.pdf,0.87
INV-0048,INV-2026-0048,Korea Vision Systems,779-92-32349,PJ-0002,PR-0013,1274515,127451,2026-06-24,synthetic_invoice_0048.pdf,0.7
INV-0049,INV-2026-0049,Seoul GPU Market,934-53-33969,PJ-0006,PR-0057,4165786,416578,2026-04-30,synthetic_invoice_0049.pdf,0.72
INV-0050,INV-2026-0050,Gyeongnam Robotics Parts,764-31-24818,PJ-0008,PR-0059,6810039,681003,2026-05-04,synthetic_invoice_0050.pdf,0.85
INV-0051,INV-2026-0051,Synthetic Data Services Korea,921-82-98918,PJ-0004,PR-0008,1213166,121316,2026-07-22,synthetic_invoice_0051.pdf,0.63
INV-0052,INV-2026-0052,Korea Vision Systems,594-72-24802,PJ-0004,PR-0049,7481557,748155,2026-07-15,synthetic_invoice_0052.pdf,0.74
INV-0053,INV-2026-0053,Busan Industrial AI Tools,785-53-78039,PJ-0001,PR-0009,1111613,111161,2026-08-12,synthetic_invoice_0053.pdf,0.85
INV-0054,INV-2026-0054,Seoul GPU Market,779-96-94070,,PR-0080,2594777,259477,2026-07-08,synthetic_invoice_0054.pdf,0.61
INV-0055,INV-2026-0055,Korea Vision Systems,617-70-74990,PJ-0002,PR-0072,5720573,572057,2026-05-13,synthetic_invoice_0055.pdf,0.58
INV-0056,INV-2026-0056,Busan Industrial AI Tools,663-92-59628,PJ-0008,PR-0063,54902772,5490277,2026-07-13,synthetic_invoice_0056.pdf,0.9
INV-0057,INV-2026-0057,Synthetic Data Services Korea,557-50-25559,PJ-0003,PR-0011,1216911,121691,2026-08-06,synthetic_invoice_0057.pdf,0.87
INV-0058,INV-2026-0058,Ulsan Sensor Co.,945-21-89194,PJ-0003,PR-0003,4171309,417130,2026-09-06,synthetic_invoice_0058.pdf,0.82
INV-0059,INV-2026-0059,Seoul GPU Market,472-16-39218,PJ-0006,PR-0066,5654429,565442,2026-07-26,synthetic_invoice_0059.pdf,0.69
INV-0060,INV-2026-0060,Synthetic Data Services Korea,216-22-96364,PJ-0005,PR-0080,2594777,259477,2026-05-27,synthetic_invoice_0060.pdf,0.55
INV-0061,INV-2026-0061,Seoul GPU Market,818-23-16000,PJ-0002,PR-0046,5855045,585504,2026-05-13,synthetic_invoice_0061.pdf,0.76
INV-0062,INV-2026-0062,Gyeongnam Robotics Parts,320-68-34979,PJ-0008,PR-0053,58158234,5815823,2026-10-01,synthetic_invoice_0062.pdf,0.7
INV-0063,INV-2026-0063,Ulsan Sensors Ltd.,890-67-69950,,PR-0054,1346810,134681,2026-09-16,synthetic_invoice_0063.pdf,0.8
INV-0064,INV-2026-0064,Ulsan Sensor Co.,666-65-86692,PJ-0001,PR-0065,123376537,12337653,2026-08-02,synthetic_invoice_0064.pdf,0.95
INV-0065,INV-2026-0065,Gyeongnam Robotics Parts,773-86-89450,PJ-0002,PR-0023,968673,96867,2026-06-22,synthetic_invoice_0065.pdf,0.77
INV-0066,INV-2026-0066,Busan Industrial AI Tools,380-60-54939,PJ-0004,PR-0050,3460323,346032,2026-06-15,synthetic_invoice_0066.pdf,0.74
INV-0067,INV-2026-0067,Daejeon Simulation Works,963-99-81802,PJ-0006,PR-0018,4397438,439743,2026-06-20,synthetic_invoice_0067.pdf,0.86
INV-0068,INV-2026-0068,Daejeon Simulation Works,803-54-98129,PJ-0003,PR-0071,752689,75268,2026-05-04,synthetic_invoice_0068.pdf,0.97
INV-0069,INV-2026-0069,Ulsan Sensors Ltd.,879-55-83699,PJ-0002,PR-0023,3769898,376989,2026-08-01,synthetic_invoice_0069.pdf,0.8
INV-0070,INV-2026-0070,Gyeongnam Robotics Parts,927-11-78515,PJ-0005,PR-0054,1346810,134681,2026-04-28,synthetic_invoice_0070.pdf,0.56
INV-0071,INV-2026-0071,Korea Vision Systems,393-97-42841,,,51231415,5123141,2026-05-08,synthetic_invoice_0071.pdf,0.91
INV-0072,INV-2026-0072,Synthetic Data Services Korea,204-88-98542,PJ-0006,PR-0038,57312844,5731284,2026-10-07,synthetic_invoice_0072.pdf,0.79
INV-0073,INV-2026-0073,Daejeon Simulation Works,809-95-16157,PJ-0003,PR-0029,963228,96322,2026-07-07,synthetic_invoice_0073.pdf,0.72
INV-0074,INV-2026-0074,Busan Industrial AI Tools,735-66-39563,PJ-0002,,5445352,544535,2026-09-10,synthetic_invoice_0074.pdf,0.85
INV-0075,INV-2026-0075,Busan Industrial AI Tools,401-67-33255,PJ-0005,PR-0048,1558508,155850,2026-09-22,synthetic_invoice_0075.pdf,0.58
INV-0076,INV-2026-0076,Daejeon Simulation Works,669-43-27048,PJ-0002,,3769898,376989,2026-05-12,synthetic_invoice_0076.pdf,0.8
INV-0077,INV-2026-0077,Korea Vision Systems,430-86-16665,,PR-0033,435045,43504,2026-10-16,synthetic_invoice_0077.pdf,0.95
INV-0078,INV-2026-0078,Seoul GPU Market,174-50-78864,PJ-0007,PR-0079,4715078,471507,2026-05-27,synthetic_invoice_0078.pdf,0.96
INV-0079,INV-2026-0079,Gyeongnam Robotics Parts,194-54-38992,,PR-0067,1421238,142123,2026-05-25,synthetic_invoice_0079.pdf,0.84
INV-0080,INV-2026-0080,Synthetic Data Services Korea,674-93-11153,PJ-0008,PR-0043,4550147,455014,2026-04-30,synthetic_invoice_0080.pdf,0.84
INV-0081,INV-2026-0081,Ulsan Sensor Co.,798-51-59987,PJ-0005,PR-0058,2145370,214537,2026-10-21,synthetic_invoice_0081.pdf,0.96
INV-0082,INV-2026-0082,Seoul GPU Market,626-75-68400,PJ-0004,PR-0050,3460323,346032,2026-08-03,synthetic_invoice_0082.pdf,0.57
INV-0083,INV-2026-0083,Ulsan Sensor Co.,741-18-37627,PJ-0001,,5984605,598460,2026-09-19,synthetic_invoice_0083.pdf,0.82
INV-0084,INV-2026-0084,Gyeongnam Robotics Parts,762-19-99921,PJ-0008,PR-0028,565056,56505,2026-05-10,synthetic_invoice_0084.pdf,0.56
INV-0085,INV-2026-0085,Daejeon Simulation Works,671-19-85361,,,726523,72652,2026-10-28,synthetic_invoice_0085.pdf,0.65
INV-0086,INV-2026-0086,Seoul GPU Market,117-59-98250,PJ-0005,PR-0034,2706321,270632,2026-05-01,synthetic_invoice_0086.pdf,0.78
INV-0087,INV-2026-0087,Ulsan Sensors Ltd.,466-74-23911,,PR-0080,2594777,259477,2026-06-14,synthetic_invoice_0087.pdf,0.89
INV-0088,INV-2026-0088,Gyeongnam Robotics Parts,941-94-14039,PJ-0004,PR-0039,3299528,329952,2026-07-31,synthetic_invoice_0088.pdf,0.62
INV-0089,INV-2026-0089,Daejeon Simulation Works,749-28-49066,PJ-0003,PR-0029,4677868,467786,2026-09-21,synthetic_invoice_0089.pdf,0.93
INV-0090,INV-2026-0090,Ulsan Sensors Ltd.,142-10-85067,PJ-0005,,1285929,128592,2026-08-31,synthetic_invoice_0090.pdf,0.72
