image_id,project_id,experiment_id,filename,defect_type,defect_label,model_id,prediction_confidence,radiographic_thickness_mm,inspection_date
WELD-0040,PJ-0003,EXP-0006,weld_xray_0040.png,slag_inclusion,defective,MDL-0018,0.746,17.1,2026-06-12
WELD-0041,PJ-0003,EXP-0006,weld_xray_0041.png,undercut,defective,MDL-0018,0.872,39.6,2026-04-08
WELD-0042,PJ-0003,EXP-0057,weld_xray_0042.png,undercut,defective,MDL-0006,0.896,12.3,2026-04-29
WELD-0043,PJ-0003,EXP-0113,weld_xray_0043.png,incomplete_fusion,defective,MDL-0018,0.896,21.1,2026-03-22
WELD-0044,PJ-0003,EXP-0055,weld_xray_0044.png,slag_inclusion,defective,MDL-0018,0.912,29.4,2026-04-23
WELD-0045,PJ-0003,EXP-0097,weld_xray_0045.png,undercut,defective,MDL-0006,0.777,25.2,2026-04-02
WELD-0046,PJ-0003,EXP-0006,weld_xray_0046.png,slag_inclusion,defective,MDL-0018,0.926,34.2,2026-05-26
WELD-0047,PJ-0003,EXP-0093,weld_xray_0047.png,crack,defective,MDL-0018,0.883,19.1,2026-08-24
WELD-0048,PJ-0003,EXP-0062,weld_xray_0048.png,incomplete_fusion,defective,MDL-0018,0.85,24.9,2026-03-09
WELD-0049,PJ-0003,EXP-0025,weld_xray_0049.png,crack,defective,MDL-0018,0.843,33.0,2026-08-03
WELD-0050,PJ-0003,EXP-0080,weld_xray_0050.png,incomplete_fusion,defective,MDL-0018,0.719,18.7,2026-07-15
WELD-0051,PJ-0003,EXP-0055,weld_xray_0051.png,undercut,defective,MDL-0018,0.687,24.9,2026-06-24
WELD-0052,PJ-0003,EXP-0062,weld_xray_0052.png,no_defect,ok,MDL-0006,0.708,28.6,2026-04-15
WELD-0053,PJ-0003,EXP-0099,weld_xray_0053.png,porosity,defective,MDL-0006,0.713,7.4,2026-06-07
WELD-0054,PJ-0003,EXP-0055,weld_xray_0054.png,slag_inclusion,defective,MDL-0006,0.749,23.4,2026-06-25
WELD-0055,PJ-0003,EXP-0068,weld_xray_0055.png,porosity,defective,MDL-0006,0.708,35.1,2026-06-14
WELD-0056,PJ-0003,EXP-0031,weld_xray_0056.png,undercut,defective,MDL-0006,0.694,19.6,2026-03-18
WELD-0057,PJ-0003,EXP-0055,weld_xray_0057.png,undercut,defective,MDL-0006,0.946,15.8,2026-08-29
WELD-0058,PJ-0003,EXP-0099,weld_xray_0058.png,no_defect,ok,MDL-0006,0.855,37.9,2026-07-29
WELD-0059,PJ-0003,EXP-0100,weld_xray_0059.png,crack,defective,MDL-0018,0.744,5.3,2026-04-06
WELD-0060,PJ-0003,EXP-0010,weld_xray_0060.png,undercut,defective,MDL-0018,0.856,13.6,2026-05-24
WELD-0061,PJ-0003,EXP-0099,weld_xray_0061.png,incomplete_fusion,defective,MDL-0018,0.807,6.4,2026-03-24
WELD-0062,PJ-0003,EXP-0097,weld_xray_0062.png,slag_inclusion,defective,MDL-0018,0.888,29.9,2026-05-16
WELD-0063,PJ-0003,EXP-0031,weld_xray_0063.png,undercut,defective,MDL-0018,0.735,36.5,2026-06-19
WELD-0064,PJ-0003,EXP-0080,weld_xray_0064.png,undercut,defective,MDL-0006,0.887,8.3,2026-08-26
WELD-0065,PJ-0003,EXP-0057,weld_xray_0065.png,porosity,defective,MDL-0006,0.743,27.0,2026-05-14
WELD-0066,PJ-0003,EXP-0010,weld_xray_0066.png,no_defect,ok,MDL-0006,0.959,19.4,2026-07-20
WELD-0067,PJ-0003,EXP-0068,weld_xray_0067.png,porosity,defective,MDL-0006,0.907,22.7,2026-05-23
WELD-0068,PJ-0003,EXP-0097,weld_xray_0068.png,undercut,defective,MDL-0006,0.736,22.7,2026-06-27
WELD-0069,PJ-0003,EXP-0010,weld_xray_0069.png,porosity,defective,MDL-0018,0.78,31.1,2026-04-19
WELD-0070,PJ-0003,EXP-0008,weld_xray_0070.png,undercut,defective,MDL-0006,0.735,29.8,2026-04-04
WELD-0071,PJ-0003,EXP-0097,weld_xray_0071.png,slag_inclusion,defective,MDL-0018,0.807,7.9,2026-08-16
WELD-0072,PJ-0003,EXP-0097,weld_xray_0072.png,crack,defective,MDL-0006,0.81,14.8,2026-04-11
WELD-0073,PJ-0003,EXP-0006,weld_xray_0073.png,crack,defective,MDL-0006,0.71,9.3,2026-06-09
WELD-0074,PJ-0003,EXP-0010,weld_xray_0074.png,crack,defective,MDL-0006,0.88,10.4,2026-05-31
WELD-0075,PJ-0003,EXP-0055,weld_xray_0075.png,crack,defective,MDL-0006,0.954,23.6,2026-06-22
WELD-0076,PJ-0003,EXP-0008,weld_xray_0076.png,no_defect,ok,MDL-0006,0.783,15.8,2026-03-14
WELD-0077,PJ-0003,EXP-0006,weld_xray_0077.png,incomplete_fusion,defective,MDL-0006,0.913,31.8,2026-05-03
WELD-0078,PJ-0003,EXP-0057,weld_xray_0078.png,slag_inclusion,defective,MDL-0006,0.681,19.8,2026-03-04
WELD-0079,PJ-0003,EXP-0055,weld_xray_0079.png,slag_inclusion,defective,MDL-0006,0.725,35.9,2026-08-18
WELD-0080,PJ-0003,EXP-0031,weld_xray_0080.png,crack,defective,MDL-0006,0.791,8.8,2026-05-23
