log_id,project_id,equipment_id,timestamp,cell_voltage_v,temperature_c,gas_concentration_ppm,fire_risk_flag,anomaly_flag,sensor_id
BESS-0093,PJ-0001,EQ-0020,2026-04-08T18:00:00,4.071,61.6,242.4,False,False,BESS-SENSOR-08
BESS-0094,PJ-0001,EQ-0020,2026-04-08T20:00:00,3.452,26.3,437.4,True,True,BESS-SENSOR-06
BESS-0095,PJ-0001,EQ-0014,2026-04-08T22:00:00,3.836,29.9,345.6,True,True,BESS-SENSOR-01
BESS-0096,PJ-0001,EQ-0003,2026-04-09T00:00:00,3.533,49.0,421.3,True,True,BESS-SENSOR-04
BESS-0097,PJ-0001,EQ-0020,2026-04-09T02:00:00,4.106,19.3,126.5,False,False,BESS-SENSOR-02
BESS-0098,PJ-0001,EQ-0016,2026-04-09T04:00:00,3.265,59.9,363.8,True,True,BESS-SENSOR-08
BESS-0099,PJ-0001,EQ-0011,2026-04-09T06:00:00,3.845,20.5,221.8,False,False,BESS-SENSOR-01
BESS-0100,PJ-0001,EQ-0006,2026-04-09T08:00:00,3.133,83.9,287.3,True,True,BESS-SENSOR-05
BESS-0101,PJ-0001,EQ-0016,2026-04-09T10:00:00,3.233,51.5,76.7,False,False,BESS-SENSOR-03
BESS-0102,PJ-0001,EQ-0003,2026-04-09T12:00:00,3.153,57.4,335.7,True,True,BESS-SENSOR-04
BESS-0103,PJ-0001,EQ-0016,2026-04-09T14:00:00,4.017,66.8,123.4,True,True,BESS-SENSOR-01
BESS-0104,PJ-0001,EQ-0020,2026-04-09T16:00:00,3.817,63.4,276.5,False,False,BESS-SENSOR-01
BESS-0105,PJ-0001,EQ-0014,2026-04-09T18:00:00,3.062,60.9,424.4,True,True,BESS-SENSOR-06
BESS-0106,PJ-0001,EQ-0014,2026-04-09T20:00:00,3.146,74.6,183.1,True,True,BESS-SENSOR-08
BESS-0107,PJ-0001,EQ-0014,2026-04-09T22:00:00,4.061,42.2,341.6,True,True,BESS-SENSOR-04
BESS-0108,PJ-0001,EQ-0003,2026-04-10T00:00:00,3.539,36.6,189.0,False,True,BESS-SENSOR-04
BESS-0109,PJ-0001,EQ-0011,2026-04-10T02:00:00,3.03,23.5,257.3,False,False,BESS-SENSOR-07
BESS-0110,PJ-0001,EQ-0003,2026-04-10T04:00:00,3.395,79.4,88.6,True,True,BESS-SENSOR-02
BESS-0111,PJ-0001,EQ-0020,2026-04-10T06:00:00,3.518,59.9,12.5,False,True,BESS-SENSOR-06
BESS-0112,PJ-0001,EQ-0011,2026-04-10T08:00:00,4.151,34.6,213.1,False,False,BESS-SENSOR-06
BESS-0113,PJ-0001,EQ-0016,2026-04-10T10:00:00,3.931,71.2,424.6,True,True,BESS-SENSOR-08
BESS-0114,PJ-0001,EQ-0003,2026-04-10T12:00:00,3.103,59.9,260.5,False,False,BESS-SENSOR-01
BESS-0115,PJ-0001,EQ-0014,2026-04-10T14:00:00,3.078,39.0,381.5,True,True,BESS-SENSOR-03
BESS-0116,PJ-0001,EQ-0003,2026-04-10T16:00:00,3.362,79.6,198.9,True,True,BESS-SENSOR-07
BESS-0117,PJ-0001,EQ-0003,2026-04-10T18:00:00,3.063,24.8,25.1,False,False,BESS-SENSOR-07
BESS-0118,PJ-0001,EQ-0003,2026-04-10T20:00:00,4.037,59.4,185.0,False,False,BESS-SENSOR-01
BESS-0119,PJ-0001,EQ-0014,2026-04-10T22:00:00,4.056,43.7,357.8,True,True,BESS-SENSOR-02
BESS-0120,PJ-0001,EQ-0011,2026-04-11T00:00:00,3.031,61.6,304.1,True,True,BESS-SENSOR-06
