file_id,file_name,file_type,source_module,linked_entity_type,linked_entity_id,extraction_confidence,contains_error,uploaded_by,uploaded_at,storage_path
FILE-0020,synthetic_invoice_0020.pdf,pdf,invoice_ocr,Invoice,INV-0020,0.84,False,P-0002,2026-05-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0020.pdf
FILE-0021,synthetic_invoice_0021.pdf,pdf,invoice_ocr,Invoice,INV-0021,0.81,False,P-0002,2026-05-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0021.pdf
FILE-0022,synthetic_invoice_0022.pdf,pdf,invoice_ocr,Invoice,INV-0022,0.66,False,P-0002,2026-07-27T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0022.pdf
FILE-0023,synthetic_invoice_0023.pdf,pdf,invoice_ocr,Invoice,INV-0023,0.79,False,P-0002,2026-07-05T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0023.pdf
FILE-0024,synthetic_invoice_0024.pdf,pdf,invoice_ocr,Invoice,INV-0024,0.92,False,P-0002,2026-06-23T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0024.pdf
FILE-0025,synthetic_invoice_0025.pdf,pdf,invoice_ocr,Invoice,INV-0025,0.9,False,P-0002,2026-04-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0025.pdf
FILE-0026,synthetic_invoice_0026.pdf,pdf,invoice_ocr,Invoice,INV-0026,0.94,False,P-0002,2026-06-06T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0026.pdf
FILE-0027,synthetic_invoice_0027.pdf,pdf,invoice_ocr,Invoice,INV-0027,0.82,True,P-0002,2026-08-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0027.pdf
FILE-0028,synthetic_invoice_0028.pdf,pdf,invoice_ocr,Invoice,INV-0028,0.68,False,P-0002,2026-05-17T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0028.pdf
FILE-0029,synthetic_invoice_0029.pdf,pdf,invoice_ocr,Invoice,INV-0029,0.65,False,P-0002,2026-04-23T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0029.pdf
FILE-0030,synthetic_invoice_0030.pdf,pdf,invoice_ocr,Invoice,INV-0030,0.92,False,P-0002,2026-07-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0030.pdf
FILE-0031,synthetic_invoice_0031.pdf,pdf,invoice_ocr,Invoice,INV-0031,0.92,True,P-0002,2026-05-01T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0031.pdf
FILE-0032,synthetic_invoice_0032.pdf,pdf,invoice_ocr,Invoice,INV-0032,0.93,False,P-0002,2026-08-24T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0032.pdf
FILE-0033,synthetic_invoice_0033.pdf,pdf,invoice_ocr,Invoice,INV-0033,0.68,False,P-0002,2026-05-16T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0033.pdf
FILE-0034,synthetic_invoice_0034.pdf,pdf,invoice_ocr,Invoice,INV-0034,0.74,True,P-0002,2026-09-05T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0034.pdf
FILE-0035,synthetic_invoice_0035.pdf,pdf,invoice_ocr,Invoice,INV-0035,0.93,False,P-0002,2026-04-04T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0035.pdf
FILE-0036,synthetic_invoice_0036.pdf,pdf,invoice_ocr,Invoice,INV-0036,0.61,False,P-0002,2026-06-19T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0036.pdf
FILE-0037,synthetic_invoice_0037.pdf,pdf,invoice_ocr,Invoice,INV-0037,0.77,False,P-0002,2026-10-04T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0037.pdf
FILE-0038,synthetic_invoice_0038.pdf,pdf,invoice_ocr,Invoice,INV-0038,0.72,False,P-0002,2026-10-25T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0038.pdf
FILE-0039,synthetic_invoice_0039.pdf,pdf,invoice_ocr,Invoice,INV-0039,0.71,False,P-0002,2026-05-02T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0039.pdf
FILE-0040,synthetic_invoice_0040.pdf,pdf,invoice_ocr,Invoice,INV-0040,0.83,False,P-0002,2026-04-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0040.pdf
FILE-0041,synthetic_invoice_0041.pdf,pdf,invoice_ocr,Invoice,INV-0041,0.62,True,P-0002,2026-09-27T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0041.pdf
FILE-0042,synthetic_invoice_0042.pdf,pdf,invoice_ocr,Invoice,INV-0042,0.91,False,P-0002,2026-07-17T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0042.pdf
FILE-0043,synthetic_invoice_0043.pdf,pdf,invoice_ocr,Invoice,INV-0043,0.88,False,P-0002,2026-05-22T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0043.pdf
FILE-0044,synthetic_invoice_0044.pdf,pdf,invoice_ocr,Invoice,INV-0044,0.85,False,P-0002,2026-05-24T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0044.pdf
FILE-0045,synthetic_invoice_0045.pdf,pdf,invoice_ocr,Invoice,INV-0045,0.61,True,P-0002,2026-08-05T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0045.pdf
FILE-0046,synthetic_invoice_0046.pdf,pdf,invoice_ocr,Invoice,INV-0046,0.66,True,P-0002,2026-06-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0046.pdf
FILE-0047,synthetic_invoice_0047.pdf,pdf,invoice_ocr,Invoice,INV-0047,0.87,True,P-0002,2026-07-19T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0047.pdf
FILE-0048,synthetic_invoice_0048.pdf,pdf,invoice_ocr,Invoice,INV-0048,0.7,False,P-0002,2026-06-24T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0048.pdf
FILE-0049,synthetic_invoice_0049.pdf,pdf,invoice_ocr,Invoice,INV-0049,0.72,False,P-0002,2026-04-30T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0049.pdf
FILE-0050,synthetic_invoice_0050.pdf,pdf,invoice_ocr,Invoice,INV-0050,0.85,False,P-0002,2026-05-04T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0050.pdf
FILE-0051,synthetic_invoice_0051.pdf,pdf,invoice_ocr,Invoice,INV-0051,0.63,False,P-0002,2026-07-22T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0051.pdf
FILE-0052,synthetic_invoice_0052.pdf,pdf,invoice_ocr,Invoice,INV-0052,0.74,False,P-0002,2026-07-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0052.pdf
FILE-0053,synthetic_invoice_0053.pdf,pdf,invoice_ocr,Invoice,INV-0053,0.85,False,P-0002,2026-08-12T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0053.pdf
FILE-0054,synthetic_invoice_0054.pdf,pdf,invoice_ocr,Invoice,INV-0054,0.61,True,P-0002,2026-07-08T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0054.pdf
FILE-0055,synthetic_invoice_0055.pdf,pdf,invoice_ocr,Invoice,INV-0055,0.58,False,P-0002,2026-05-13T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0055.pdf
FILE-0056,synthetic_invoice_0056.pdf,pdf,invoice_ocr,Invoice,INV-0056,0.9,False,P-0002,2026-07-13T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0056.pdf
FILE-0057,synthetic_invoice_0057.pdf,pdf,invoice_ocr,Invoice,INV-0057,0.87,False,P-0002,2026-08-06T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0057.pdf
FILE-0058,synthetic_invoice_0058.pdf,pdf,invoice_ocr,Invoice,INV-0058,0.82,False,P-0002,2026-09-06T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0058.pdf
FILE-0059,synthetic_invoice_0059.pdf,pdf,invoice_ocr,Invoice,INV-0059,0.69,False,P-0002,2026-07-26T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0059.pdf
FILE-0060,synthetic_invoice_0060.pdf,pdf,invoice_ocr,Invoice,INV-0060,0.55,False,P-0002,2026-05-27T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0060.pdf
FILE-0061,synthetic_invoice_0061.pdf,pdf,invoice_ocr,Invoice,INV-0061,0.76,False,P-0002,2026-05-13T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0061.pdf
FILE-0062,synthetic_invoice_0062.pdf,pdf,invoice_ocr,Invoice,INV-0062,0.7,False,P-0002,2026-10-01T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0062.pdf
FILE-0063,synthetic_invoice_0063.pdf,pdf,invoice_ocr,Invoice,INV-0063,0.8,True,P-0002,2026-09-16T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0063.pdf
FILE-0064,synthetic_invoice_0064.pdf,pdf,invoice_ocr,Invoice,INV-0064,0.95,False,P-0002,2026-08-02T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0064.pdf
FILE-0065,synthetic_invoice_0065.pdf,pdf,invoice_ocr,Invoice,INV-0065,0.77,False,P-0002,2026-06-22T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0065.pdf
FILE-0066,synthetic_invoice_0066.pdf,pdf,invoice_ocr,Invoice,INV-0066,0.74,False,P-0002,2026-06-15T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0066.pdf
FILE-0067,synthetic_invoice_0067.pdf,pdf,invoice_ocr,Invoice,INV-0067,0.86,False,P-0002,2026-06-20T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0067.pdf
FILE-0068,synthetic_invoice_0068.pdf,pdf,invoice_ocr,Invoice,INV-0068,0.97,False,P-0002,2026-05-04T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0068.pdf
FILE-0069,synthetic_invoice_0069.pdf,pdf,invoice_ocr,Invoice,INV-0069,0.8,False,P-0002,2026-08-01T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0069.pdf
FILE-0070,synthetic_invoice_0070.pdf,pdf,invoice_ocr,Invoice,INV-0070,0.56,False,P-0002,2026-04-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0070.pdf
FILE-0071,synthetic_invoice_0071.pdf,pdf,invoice_ocr,Invoice,INV-0071,0.91,True,P-0002,2026-05-08T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0071.pdf
FILE-0072,synthetic_invoice_0072.pdf,pdf,invoice_ocr,Invoice,INV-0072,0.79,False,P-0002,2026-10-07T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0072.pdf
FILE-0073,synthetic_invoice_0073.pdf,pdf,invoice_ocr,Invoice,INV-0073,0.72,False,P-0002,2026-07-07T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0073.pdf
FILE-0074,synthetic_invoice_0074.pdf,pdf,invoice_ocr,Invoice,INV-0074,0.85,True,P-0002,2026-09-10T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0074.pdf
FILE-0075,synthetic_invoice_0075.pdf,pdf,invoice_ocr,Invoice,INV-0075,0.58,False,P-0002,2026-09-22T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0075.pdf
FILE-0076,synthetic_invoice_0076.pdf,pdf,invoice_ocr,Invoice,INV-0076,0.8,True,P-0002,2026-05-12T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0076.pdf
FILE-0077,synthetic_invoice_0077.pdf,pdf,invoice_ocr,Invoice,INV-0077,0.95,True,P-0002,2026-10-16T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0077.pdf
FILE-0078,synthetic_invoice_0078.pdf,pdf,invoice_ocr,Invoice,INV-0078,0.96,False,P-0002,2026-05-27T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0078.pdf
FILE-0079,synthetic_invoice_0079.pdf,pdf,invoice_ocr,Invoice,INV-0079,0.84,True,P-0002,2026-05-25T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0079.pdf
FILE-0080,synthetic_invoice_0080.pdf,pdf,invoice_ocr,Invoice,INV-0080,0.84,False,P-0002,2026-04-30T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0080.pdf
FILE-0081,synthetic_invoice_0081.pdf,pdf,invoice_ocr,Invoice,INV-0081,0.96,False,P-0002,2026-10-21T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0081.pdf
FILE-0082,synthetic_invoice_0082.pdf,pdf,invoice_ocr,Invoice,INV-0082,0.57,False,P-0002,2026-08-03T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0082.pdf
FILE-0083,synthetic_invoice_0083.pdf,pdf,invoice_ocr,Invoice,INV-0083,0.82,True,P-0002,2026-09-19T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0083.pdf
FILE-0084,synthetic_invoice_0084.pdf,pdf,invoice_ocr,Invoice,INV-0084,0.56,False,P-0002,2026-05-10T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0084.pdf
FILE-0085,synthetic_invoice_0085.pdf,pdf,invoice_ocr,Invoice,INV-0085,0.65,True,P-0002,2026-10-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0085.pdf
FILE-0086,synthetic_invoice_0086.pdf,pdf,invoice_ocr,Invoice,INV-0086,0.78,False,P-0002,2026-05-01T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0086.pdf
FILE-0087,synthetic_invoice_0087.pdf,pdf,invoice_ocr,Invoice,INV-0087,0.89,True,P-0002,2026-06-14T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0087.pdf
FILE-0088,synthetic_invoice_0088.pdf,pdf,invoice_ocr,Invoice,INV-0088,0.62,False,P-0002,2026-07-31T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0088.pdf
FILE-0089,synthetic_invoice_0089.pdf,pdf,invoice_ocr,Invoice,INV-0089,0.93,False,P-0002,2026-09-21T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0089.pdf
FILE-0090,synthetic_invoice_0090.pdf,pdf,invoice_ocr,Invoice,INV-0090,0.72,True,P-0002,2026-08-31T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0090.pdf
FILE-0091,budget_tracker_PJ-0002_91.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0001,0.8,False,P-0002,2026-05-26T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0001.xlsx
FILE-0092,budget_tracker_PJ-0007_92.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0002,0.95,False,P-0002,2026-06-26T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0002.xlsx
FILE-0093,budget_tracker_PJ-0003_93.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0003,0.92,False,P-0002,2026-04-26T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0003.xlsx
FILE-0094,budget_tracker_PJ-0008_94.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0004,0.85,True,P-0002,2026-05-22T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0004.xlsx
FILE-0095,budget_tracker_PJ-0003_95.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0005,0.85,False,P-0002,2026-07-02T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0005.xlsx
FILE-0096,budget_tracker_PJ-0005_96.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0006,0.79,False,P-0002,2026-09-08T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0006.xlsx
FILE-0097,budget_tracker_PJ-0005_97.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0007,0.92,False,P-0002,2026-04-01T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0007.xlsx
FILE-0098,budget_tracker_PJ-0004_98.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0008,0.96,False,P-0002,2026-04-03T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0008.xlsx
FILE-0099,budget_tracker_PJ-0001_99.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0009,0.92,False,P-0002,2026-04-19T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0009.xlsx
FILE-0100,budget_tracker_PJ-0004_100.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0010,0.85,False,P-0002,2026-06-16T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0010.xlsx
FILE-0101,budget_tracker_PJ-0003_101.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0011,0.94,False,P-0002,2026-09-04T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0011.xlsx
FILE-0102,budget_tracker_PJ-0003_102.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0012,0.89,False,P-0002,2026-05-26T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0012.xlsx
FILE-0103,budget_tracker_PJ-0002_103.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0013,0.78,False,P-0002,2026-06-29T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0013.xlsx
FILE-0104,budget_tracker_PJ-0007_104.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0014,0.82,False,P-0002,2026-06-03T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0014.xlsx
FILE-0105,budget_tracker_PJ-0005_105.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0015,0.98,False,P-0002,2026-08-11T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0015.xlsx
FILE-0106,budget_tracker_PJ-0004_106.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0016,0.87,False,P-0002,2026-07-08T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0016.xlsx
FILE-0107,budget_tracker_PJ-0002_107.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0017,0.83,False,P-0002,2026-07-02T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0017.xlsx
FILE-0108,budget_tracker_PJ-0006_108.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0018,0.96,False,P-0002,2026-07-30T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0018.xlsx
FILE-0109,budget_tracker_PJ-0002_109.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0019,0.89,True,P-0002,2026-04-16T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0019.xlsx
FILE-0110,budget_tracker_PJ-0007_110.xlsx,xlsx,budget_tracker,PurchaseRequest,PR-0020,0.84,False,P-0002,2026-07-12T00:00:00,minio://synthetic-dais/raw/budgets/budget_PR-0020.xlsx
FILE-0111,exp_log_EXP-0001.log,log,experiment_runner,Experiment,EXP-0001,0.8,False,P-0023,2026-06-03T23:08:35,minio://synthetic-dais/raw/experiment_logs/EXP-0001.log
FILE-0112,exp_log_EXP-0002.log,log,experiment_runner,Experiment,EXP-0002,0.92,False,P-0023,2026-04-11T18:04:48,minio://synthetic-dais/raw/experiment_logs/EXP-0002.log
FILE-0113,exp_log_EXP-0003.log,log,experiment_runner,Experiment,EXP-0003,0.85,True,P-0017,2026-04-19T11:52:21,minio://synthetic-dais/raw/experiment_logs/EXP-0003.log
FILE-0114,exp_log_EXP-0004.log,log,experiment_runner,Experiment,EXP-0004,0.83,True,P-0008,2026-06-22T21:07:31,minio://synthetic-dais/raw/experiment_logs/EXP-0004.log
FILE-0115,exp_log_EXP-0005.log,log,experiment_runner,Experiment,EXP-0005,0.89,False,P-0015,2026-06-22T12:42:49,minio://synthetic-dais/raw/experiment_logs/EXP-0005.log
FILE-0116,exp_log_EXP-0006.log,log,experiment_runner,Experiment,EXP-0006,0.91,False,P-0025,2026-03-01T08:00:00,minio://synthetic-dais/raw/experiment_logs/EXP-0006.log
FILE-0117,exp_log_EXP-0007.log,log,experiment_runner,Experiment,EXP-0007,0.97,False,P-0013,2026-05-08T03:53:15,minio://synthetic-dais/raw/experiment_logs/EXP-0007.log
FILE-0118,exp_log_EXP-0008.log,log,experiment_runner,Experiment,EXP-0008,0.84,False,P-0006,2026-05-07T18:35:30,minio://synthetic-dais/raw/experiment_logs/EXP-0008.log
FILE-0119,exp_log_EXP-0009.log,log,experiment_runner,Experiment,EXP-0009,0.96,False,P-0006,2026-03-31T05:03:17,minio://synthetic-dais/raw/experiment_logs/EXP-0009.log
FILE-0120,exp_log_EXP-0010.log,log,experiment_runner,Experiment,EXP-0010,0.85,True,P-0012,2026-07-04T11:42:24,minio://synthetic-dais/raw/experiment_logs/EXP-0010.log
FILE-0121,exp_log_EXP-0011.log,log,experiment_runner,Experiment,EXP-0011,0.89,True,P-0011,2026-06-25T09:03:24,minio://synthetic-dais/raw/experiment_logs/EXP-0011.log
FILE-0122,exp_log_EXP-0012.log,log,experiment_runner,Experiment,EXP-0012,0.96,False,P-0017,2026-05-13T19:53:42,minio://synthetic-dais/raw/experiment_logs/EXP-0012.log
FILE-0123,exp_log_EXP-0013.log,log,experiment_runner,Experiment,EXP-0013,0.86,False,P-0017,2026-08-26T20:55:41,minio://synthetic-dais/raw/experiment_logs/EXP-0013.log
FILE-0124,exp_log_EXP-0014.log,log,experiment_runner,Experiment,EXP-0014,0.91,False,P-0014,2026-07-14T00:40:21,minio://synthetic-dais/raw/experiment_logs/EXP-0014.log
FILE-0125,exp_log_EXP-0015.log,log,experiment_runner,Experiment,EXP-0015,0.89,False,P-0006,2026-04-30T05:59:03,minio://synthetic-dais/raw/experiment_logs/EXP-0015.log
FILE-0126,exp_log_EXP-0016.log,log,experiment_runner,Experiment,EXP-0016,0.94,False,P-0010,2026-03-01T08:00:00,minio://synthetic-dais/raw/experiment_logs/EXP-0016.log
FILE-0127,exp_log_EXP-0017.log,log,experiment_runner,Experiment,EXP-0017,0.84,False,P-0009,2026-08-10T14:51:36,minio://synthetic-dais/raw/experiment_logs/EXP-0017.log
FILE-0128,exp_log_EXP-0018.log,log,experiment_runner,Experiment,EXP-0018,0.95,False,P-0025,2026-03-01T08:00:00,minio://synthetic-dais/raw/experiment_logs/EXP-0018.log
FILE-0129,exp_log_EXP-0019.log,log,experiment_runner,Experiment,EXP-0019,0.83,True,P-0025,2026-06-22T12:21:40,minio://synthetic-dais/raw/experiment_logs/EXP-0019.log
FILE-0130,exp_log_EXP-0020.log,log,experiment_runner,Experiment,EXP-0020,0.86,False,P-0006,2026-06-07T11:06:26,minio://synthetic-dais/raw/experiment_logs/EXP-0020.log
FILE-0131,exp_log_EXP-0021.log,log,experiment_runner,Experiment,EXP-0021,0.92,True,P-0010,2026-06-01T08:35:30,minio://synthetic-dais/raw/experiment_logs/EXP-0021.log
FILE-0132,exp_log_EXP-0022.log,log,experiment_runner,Experiment,EXP-0022,0.92,False,P-0011,2026-05-25T07:51:14,minio://synthetic-dais/raw/experiment_logs/EXP-0022.log
FILE-0133,exp_log_EXP-0023.log,log,experiment_runner,Experiment,EXP-0023,0.82,True,P-0005,2026-07-30T16:39:41,minio://synthetic-dais/raw/experiment_logs/EXP-0023.log
