purchase_request_id,request_code,project_id,requester_person_id,item_name,amount_krw,status,approval_required,budget_check_status,created_at
PR-0034,PR-2026-0034,PJ-0005,P-0014,GPU workstation component,2706321,rejected,true,ok,2026-04-03T00:00:00
PR-0035,PR-2026-0035,PJ-0006,P-0013,Conference registration,4829553,approved,true,ok,2026-07-28T00:00:00
PR-0036,PR-2026-0036,PJ-0006,P-0010,Experiment fixture,4238609,approved,true,ok,2026-05-09T00:00:00
PR-0037,PR-2026-0037,PJ-0001,P-0011,Experiment fixture,300573,approved,false,ok,2026-04-03T00:00:00
PR-0038,PR-2026-0038,PJ-0006,P-0013,GPU workstation component,57312844,approved,true,over_budget,2026-08-14T00:00:00
PR-0039,PR-2026-0039,PJ-0004,P-0008,NAS storage expansion,602436,pending,false,ok,2026-04-12T00:00:00
PR-0040,PR-2026-0040,PJ-0004,P-0017,Annotation software license,4460056,rejected,true,ok,2026-04-22T00:00:00
PR-0041,PR-2026-0041,PJ-0002,P-0016,GPU workstation component,5445352,pending,true,ok,2026-07-21T00:00:00
PR-0042,PR-2026-0042,PJ-0003,P-0014,Edge AI box,2289350,approved,true,ok,2026-06-21T00:00:00
PR-0043,PR-2026-0043,PJ-0008,P-0010,Vibration sensor kit,726523,pending,false,ok,2026-05-10T00:00:00
PR-0044,PR-2026-0044,PJ-0002,P-0014,Edge AI box,4009553,pending,true,ok,2026-08-16T00:00:00
PR-0045,PR-2026-0045,PJ-0006,P-0019,NAS storage expansion,1841778,rejected,true,ok,2026-06-07T00:00:00
PR-0046,PR-2026-0046,PJ-0002,P-0013,Conference registration,5855045,pending,true,ok,2026-05-26T00:00:00
PR-0047,PR-2026-0047,PJ-0006,P-0015,Edge AI box,2182210,pending,true,ok,2026-06-16T00:00:00
PR-0048,PR-2026-0048,PJ-0005,P-0004,Edge AI box,1558508,rejected,true,ok,2026-08-21T00:00:00
PR-0049,PR-2026-0049,PJ-0004,P-0008,GPU workstation component,954860,pending,false,ok,2026-04-16T00:00:00
PR-0050,PR-2026-0050,PJ-0004,P-0015,GPU workstation component,3460323,approved,true,ok,2026-04-20T00:00:00
PR-0051,PR-2026-0051,PJ-0001,P-0019,Vibration sensor kit,1758850,pending,true,ok,2026-06-24T00:00:00
PR-0052,PR-2026-0052,PJ-0002,P-0009,Conference registration,51849559,rejected,true,over_budget,2026-07-11T00:00:00
PR-0053,PR-2026-0053,PJ-0008,P-0009,Annotation software license,58158234,approved,true,over_budget,2026-05-18T00:00:00
PR-0054,PR-2026-0054,PJ-0005,P-0005,Conference registration,1346810,approved,true,ok,2026-06-15T00:00:00
PR-0055,PR-2026-0055,PJ-0008,P-0020,Industrial camera lens,4719511,pending,true,ok,2026-06-11T00:00:00
PR-0056,PR-2026-0056,PJ-0007,P-0022,Thermal camera module,1773173,pending,true,ok,2026-07-07T00:00:00
PR-0057,PR-2026-0057,PJ-0006,P-0015,Conference registration,4165786,approved,true,ok,2026-07-09T00:00:00
PR-0058,PR-2026-0058,PJ-0005,P-0011,Industrial camera lens,2774938,approved,true,ok,2026-04-15T00:00:00
PR-0059,PR-2026-0059,PJ-0008,P-0011,Vibration sensor kit,4998854,pending,true,ok,2026-06-03T00:00:00
PR-0060,PR-2026-0060,PJ-0004,P-0011,Conference registration,568995,rejected,false,ok,2026-06-30T00:00:00
PR-0061,PR-2026-0061,PJ-0003,P-0014,Annotation software license,5070413,pending,true,ok,2026-06-30T00:00:00
PR-0062,PR-2026-0062,PJ-0003,P-0020,Experiment fixture,1679018,approved,true,ok,2026-05-15T00:00:00
PR-0063,PR-2026-0063,PJ-0008,P-0011,Industrial camera lens,54902772,rejected,true,over_budget,2026-04-01T00:00:00
PR-0064,PR-2026-0064,PJ-0006,P-0008,Annotation software license,1790005,approved,true,ok,2026-06-22T00:00:00
PR-0065,PR-2026-0065,PJ-0001,P-0007,Experiment fixture,123376537,approved,true,over_budget,2026-04-19T00:00:00
PR-0066,PR-2026-0066,PJ-0006,P-0016,Conference registration,5654429,pending,true,ok,2026-06-26T00:00:00
PR-0067,PR-2026-0067,PJ-0005,P-0017,Pressure sensor,1421238,approved,true,ok,2026-05-15T00:00:00
PR-0068,PR-2026-0068,PJ-0006,P-0009,Edge AI box,5040471,approved,true,ok,2026-06-15T00:00:00
PR-0069,PR-2026-0069,PJ-0003,P-0025,Edge AI box,115081,pending,false,ok,2026-05-17T00:00:00
PR-0070,PR-2026-0070,PJ-0006,P-0011,Conference registration,5228636,pending,true,ok,2026-08-06T00:00:00
PR-0071,PR-2026-0071,PJ-0003,P-0011,Annotation software license,752689,approved,false,ok,2026-05-13T00:00:00
PR-0072,PR-2026-0072,PJ-0002,P-0014,Pressure sensor,5720573,pending,true,ok,2026-06-07T00:00:00
PR-0073,PR-2026-0073,PJ-0004,P-0015,NAS storage expansion,668703,pending,false,ok,2026-04-01T00:00:00
PR-0074,PR-2026-0074,PJ-0001,P-0009,Edge AI box,3620306,rejected,true,ok,2026-07-06T00:00:00
PR-0075,PR-2026-0075,PJ-0006,P-0020,Conference registration,950844,approved,false,ok,2026-05-12T00:00:00
PR-0076,PR-2026-0076,PJ-0008,P-0013,Industrial camera lens,380286,approved,false,ok,2026-06-06T00:00:00
PR-0077,PR-2026-0077,PJ-0002,P-0016,Vibration sensor kit,1526945,pending,true,ok,2026-08-19T00:00:00
PR-0078,PR-2026-0078,PJ-0002,P-0020,Industrial camera lens,5247625,rejected,true,ok,2026-05-13T00:00:00
PR-0079,PR-2026-0079,PJ-0007,P-0014,Thermal camera module,949412,approved,false,ok,2026-07-14T00:00:00
PR-0080,PR-2026-0080,PJ-0005,P-0011,GPU workstation component,2594777,pending,true,ok,2026-07-10T00:00:00
