dataset_id,dataset_code,project_id,owner_person_id,title,data_type,version,sensitivity_level,row_count,file_count,quality_score,storage_path,approval_status
DS-0027,DATA-PROCESS-MINI-v04-027,PJ-0006,P-0012,Synthetic Process mining Dataset 027,simulation,v03,low,247076,163,0.87,minio://synthetic-dais/datasets/DS-0027/,approved
DS-0028,DATA-PROCESS-MINI-v01-028,PJ-0006,P-0005,Synthetic Process mining Dataset 028,image,v02,medium,440497,171,0.82,minio://synthetic-dais/datasets/DS-0028/,approved
DS-0029,DATA-WELDING-INSP-v01-029,PJ-0003,P-0025,Synthetic Welding inspection AI Dataset 029,sensor_time_series,v04,medium,402575,3026,0.62,minio://synthetic-dais/datasets/DS-0029/,pending_review
DS-0030,DATA-HYDRAULIC-QU-v02-030,PJ-0002,P-0013,Synthetic Hydraulic quality monitoring Dataset 030,image,v01,medium,302383,3079,0.72,minio://synthetic-dais/datasets/DS-0030/,pending_review
DS-0031,DATA-CYBER-PHYSIC-v02-031,PJ-0004,,Synthetic Cyber-physical systems Dataset 031,image,v03,low,417952,4641,0.89,minio://synthetic-dais/datasets/DS-0031/,approved
DS-0032,DATA-MACHINE-VISI-v01-032,PJ-0007,P-0022,Synthetic Machine vision Dataset 032,tabular,v01,high,431638,4020,0.6,minio://synthetic-dais/datasets/DS-0032/,approved
DS-0033,DATA-SYSTEM-ANOMA-v04-033,PJ-0008,P-0009,Synthetic System anomaly detection Dataset 033,inspection_log,v03,high,244227,3573,0.91,minio://synthetic-dais/datasets/DS-0033/,pending_review
DS-0034,DATA-SEMICONDUCTO-v02-034,PJ-0005,P-0006,Synthetic Semiconductor digital twin Dataset 034,tabular,v04,medium,393965,3811,0.8,minio://synthetic-dais/datasets/DS-0034/,pending_review
DS-0035,DATA-MACHINE-VISI-v04-035,PJ-0007,P-0014,Synthetic Machine vision Dataset 035,sensor_time_series,v04,medium,186530,2121,0.7,minio://synthetic-dais/datasets/DS-0035/,pending_review
DS-0036,DATA-SEMICONDUCTO-v02-036,PJ-0005,P-0006,Synthetic Semiconductor digital twin Dataset 036,sensor_time_series,v04,high,291572,1973,0.85,minio://synthetic-dais/datasets/DS-0036/,pending_review
DS-0037,DATA-SYSTEM-ANOMA-v01-037,PJ-0008,P-0006,Synthetic System anomaly detection Dataset 037,tabular,v02,high,363195,1998,0.68,minio://synthetic-dais/datasets/DS-0037/,pending_review
DS-0038,DATA-PROCESS-MINI-v03-038,PJ-0006,P-0017,Synthetic Process mining Dataset 038,inspection_log,v03,medium,368998,3722,0.67,minio://synthetic-dais/datasets/DS-0038/,approved
DS-0039,DATA-CYBER-PHYSIC-v02-039,PJ-0004,P-0014,Synthetic Cyber-physical systems Dataset 039,image,v02,medium,113947,3971,0.67,minio://synthetic-dais/datasets/DS-0039/,pending_review
DS-0040,DATA-SEMICONDUCTO-v02-040,PJ-0005,P-0013,Synthetic Semiconductor digital twin Dataset 040,sensor_time_series,v03,medium,158975,120,0.85,minio://synthetic-dais/datasets/DS-0040/,approved
DS-0041,DATA-SEMICONDUCTO-v01-041,PJ-0005,,Synthetic Semiconductor digital twin Dataset 041,inspection_log,v03,medium,334927,4026,0.59,minio://synthetic-dais/datasets/DS-0041/,approved
DS-0042,DATA-SEMICONDUCTO-v04-042,PJ-0005,P-0014,Synthetic Semiconductor digital twin Dataset 042,sensor_time_series,v01,medium,493888,3918,0.6,minio://synthetic-dais/datasets/DS-0042/,approved
DS-0043,DATA-MACHINE-VISI-v01-043,PJ-0007,P-0008,Synthetic Machine vision Dataset 043,sensor_time_series,v03,low,130623,975,0.79,minio://synthetic-dais/datasets/DS-0043/,approved
DS-0044,DATA-CYBER-PHYSIC-v04-044,PJ-0004,P-0019,Synthetic Cyber-physical systems Dataset 044,simulation,v03,high,160607,4663,0.82,minio://synthetic-dais/datasets/DS-0044/,pending_review
DS-0045,DATA-HYDRAULIC-QU-v02-045,PJ-0002,P-0010,Synthetic Hydraulic quality monitoring Dataset 045,tabular,v01,medium,126258,1428,0.79,minio://synthetic-dais/datasets/DS-0045/,approved
DS-0046,DATA-BESS-SAFETY--v04-046,PJ-0001,P-0013,Synthetic BESS safety AI Dataset 046,image,v02,medium,371148,2321,0.85,minio://synthetic-dais/datasets/DS-0046/,approved
DS-0047,DATA-HYDRAULIC-QU-v03-047,PJ-0002,P-0025,Synthetic Hydraulic quality monitoring Dataset 047,sensor_time_series,v04,low,286007,1846,0.83,minio://synthetic-dais/datasets/DS-0047/,approved
DS-0048,DATA-WELDING-INSP-v02-048,PJ-0003,,Synthetic Welding inspection AI Dataset 048,tabular,v03,high,65697,3844,0.85,minio://synthetic-dais/datasets/DS-0048/,pending_review
DS-0049,DATA-MACHINE-VISI-v04-049,PJ-0007,P-0019,Synthetic Machine vision Dataset 049,image,v01,high,385607,2645,0.81,minio://synthetic-dais/datasets/DS-0049/,approved
DS-0050,DATA-HYDRAULIC-QU-v01-050,PJ-0002,P-0012,Synthetic Hydraulic quality monitoring Dataset 050,inspection_log,v01,medium,247177,4256,0.83,minio://synthetic-dais/datasets/DS-0050/,approved
