run_id,project_id,model_id,simulation_config,yield_percent,cycle_time_sec,defect_density_per_cm2,status,run_date
SEMI-0014,PJ-0005,MDL-0037,"{""temperature_c"": 395.2, ""pressure_mbar"": 8.05, ""gas_flow_sccm"": 288.5}",76.57,93,3.77,completed,2026-08-16
SEMI-0015,PJ-0005,MDL-0009,"{""temperature_c"": 204.2, ""pressure_mbar"": 6.39, ""gas_flow_sccm"": 131.0}",88.59,190,0.624,completed,2026-04-22
SEMI-0016,PJ-0005,MDL-0021,"{""temperature_c"": 176.3, ""pressure_mbar"": 3.31, ""gas_flow_sccm"": 388.9}",77.07,93,2.536,completed,2026-07-18
SEMI-0017,PJ-0005,MDL-0021,"{""temperature_c"": 276.9, ""pressure_mbar"": 9.51, ""gas_flow_sccm"": 50.0}",82.36,295,4.524,completed,2026-07-15
SEMI-0018,PJ-0005,MDL-0026,"{""temperature_c"": 192.0, ""pressure_mbar"": 5.41, ""gas_flow_sccm"": 190.8}",97.31,210,3.035,completed,2026-08-24
SEMI-0019,PJ-0005,MDL-0009,"{""temperature_c"": 348.8, ""pressure_mbar"": 1.4, ""gas_flow_sccm"": 66.5}",78.47,140,4.788,completed,2026-04-25
SEMI-0020,PJ-0005,MDL-0037,"{""temperature_c"": 257.7, ""pressure_mbar"": 2.16, ""gas_flow_sccm"": 330.0}",76.82,160,1.311,completed,2026-04-11
SEMI-0021,PJ-0005,MDL-0026,"{""temperature_c"": 286.8, ""pressure_mbar"": 9.5, ""gas_flow_sccm"": 354.4}",98.03,103,2.684,completed,2026-05-08
SEMI-0022,PJ-0005,MDL-0021,"{""temperature_c"": 364.3, ""pressure_mbar"": 6.07, ""gas_flow_sccm"": 341.5}",87.53,113,2.104,completed,2026-06-20
SEMI-0023,PJ-0005,MDL-0026,"{""temperature_c"": 157.8, ""pressure_mbar"": 6.43, ""gas_flow_sccm"": 84.9}",78.05,86,3.423,completed,2026-05-24
SEMI-0024,PJ-0005,MDL-0009,"{""temperature_c"": 258.8, ""pressure_mbar"": 4.0, ""gas_flow_sccm"": 173.0}",96.29,145,1.375,completed,2026-04-26
SEMI-0025,PJ-0005,MDL-0026,"{""temperature_c"": 435.5, ""pressure_mbar"": 8.04, ""gas_flow_sccm"": 105.6}",87.9,186,2.948,completed,2026-03-25
SEMI-0026,PJ-0005,MDL-0037,"{""temperature_c"": 254.7, ""pressure_mbar"": 6.15, ""gas_flow_sccm"": 176.9}",81.64,80,4.484,completed,2026-06-08
SEMI-0027,PJ-0005,MDL-0021,"{""temperature_c"": 253.6, ""pressure_mbar"": 7.67, ""gas_flow_sccm"": 485.6}",88.03,236,2.39,completed,2026-03-03
SEMI-0028,PJ-0005,MDL-0037,"{""temperature_c"": 364.0, ""pressure_mbar"": 6.92, ""gas_flow_sccm"": 114.2}",88.91,166,0.274,completed,2026-06-03
SEMI-0029,PJ-0005,MDL-0021,"{""temperature_c"": 353.5, ""pressure_mbar"": 4.76, ""gas_flow_sccm"": 256.0}",85.75,211,3.994,completed,2026-05-10
SEMI-0030,PJ-0005,MDL-0026,"{""temperature_c"": 306.2, ""pressure_mbar"": 7.47, ""gas_flow_sccm"": 465.7}",80.6,74,4.738,completed,2026-05-20
SEMI-0031,PJ-0005,MDL-0009,"{""temperature_c"": 340.4, ""pressure_mbar"": 1.69, ""gas_flow_sccm"": 158.0}",77.29,59,0.432,completed,2026-07-05
SEMI-0032,PJ-0005,MDL-0009,"{""temperature_c"": 438.6, ""pressure_mbar"": 4.82, ""gas_flow_sccm"": 278.9}",92.9,275,2.494,completed,2026-08-21
SEMI-0033,PJ-0005,MDL-0037,"{""temperature_c"": 359.4, ""pressure_mbar"": 4.65, ""gas_flow_sccm"": 327.3}",97.32,33,3.574,completed,2026-05-28
SEMI-0034,PJ-0005,MDL-0021,"{""temperature_c"": 448.3, ""pressure_mbar"": 6.95, ""gas_flow_sccm"": 464.2}",99.48,300,3.424,failed,2026-06-23
SEMI-0035,PJ-0005,MDL-0021,"{""temperature_c"": 352.4, ""pressure_mbar"": 8.94, ""gas_flow_sccm"": 285.6}",80.51,68,1.842,completed,2026-05-30
SEMI-0036,PJ-0005,MDL-0009,"{""temperature_c"": 276.8, ""pressure_mbar"": 4.41, ""gas_flow_sccm"": 218.0}",77.77,157,4.16,completed,2026-03-31
SEMI-0037,PJ-0005,MDL-0022,"{""temperature_c"": 239.8, ""pressure_mbar"": 3.64, ""gas_flow_sccm"": 145.9}",93.08,231,1.095,completed,2026-08-12
SEMI-0038,PJ-0005,MDL-0037,"{""temperature_c"": 397.7, ""pressure_mbar"": 1.32, ""gas_flow_sccm"": 258.4}",90.13,279,0.297,failed,2026-06-26
SEMI-0039,PJ-0005,MDL-0022,"{""temperature_c"": 239.5, ""pressure_mbar"": 1.96, ""gas_flow_sccm"": 207.4}",92.7,235,1.779,completed,2026-07-04
SEMI-0040,PJ-0005,MDL-0021,"{""temperature_c"": 175.4, ""pressure_mbar"": 5.63, ""gas_flow_sccm"": 119.2}",78.03,279,0.044,completed,2026-05-04
SEMI-0041,PJ-0005,MDL-0021,"{""temperature_c"": 291.2, ""pressure_mbar"": 4.37, ""gas_flow_sccm"": 214.0}",96.86,167,0.552,completed,2026-06-21
SEMI-0042,PJ-0005,MDL-0021,"{""temperature_c"": 192.0, ""pressure_mbar"": 7.72, ""gas_flow_sccm"": 52.6}",96.65,131,0.562,completed,2026-04-04
SEMI-0043,PJ-0005,MDL-0026,"{""temperature_c"": 276.3, ""pressure_mbar"": 3.98, ""gas_flow_sccm"": 64.2}",91.32,275,4.799,completed,2026-03-31
SEMI-0044,PJ-0005,MDL-0026,"{""temperature_c"": 296.7, ""pressure_mbar"": 5.46, ""gas_flow_sccm"": 356.8}",78.12,234,2.514,completed,2026-06-08
SEMI-0045,PJ-0005,MDL-0021,"{""temperature_c"": 182.9, ""pressure_mbar"": 1.97, ""gas_flow_sccm"": 59.5}",78.81,286,0.078,completed,2026-03-14
SEMI-0046,PJ-0005,MDL-0022,"{""temperature_c"": 278.9, ""pressure_mbar"": 6.37, ""gas_flow_sccm"": 53.6}",86.76,174,2.435,completed,2026-05-03
SEMI-0047,PJ-0005,MDL-0037,"{""temperature_c"": 195.7, ""pressure_mbar"": 5.6, ""gas_flow_sccm"": 162.3}",93.78,164,4.971,completed,2026-06-18
SEMI-0048,PJ-0005,MDL-0021,"{""temperature_c"": 292.2, ""pressure_mbar"": 8.04, ""gas_flow_sccm"": 96.4}",92.9,122,0.951,completed,2026-08-09
SEMI-0049,PJ-0005,MDL-0021,"{""temperature_c"": 218.8, ""pressure_mbar"": 2.19, ""gas_flow_sccm"": 67.3}",99.26,104,2.137,completed,2026-03-24
SEMI-0050,PJ-0005,MDL-0009,"{""temperature_c"": 264.1, ""pressure_mbar"": 5.72, ""gas_flow_sccm"": 365.1}",99.01,143,1.688,completed,2026-07-09
SEMI-0051,PJ-0005,MDL-0026,"{""temperature_c"": 343.2, ""pressure_mbar"": 3.74, ""gas_flow_sccm"": 171.2}",81.87,209,3.561,completed,2026-03-13
SEMI-0052,PJ-0005,MDL-0021,"{""temperature_c"": 162.3, ""pressure_mbar"": 1.47, ""gas_flow_sccm"": 385.1}",80.19,271,1.408,completed,2026-06-19
SEMI-0053,PJ-0005,MDL-0021,"{""temperature_c"": 225.7, ""pressure_mbar"": 5.42, ""gas_flow_sccm"": 200.4}",77.73,36,3.418,completed,2026-04-03
SEMI-0054,PJ-0005,MDL-0022,"{""temperature_c"": 258.2, ""pressure_mbar"": 8.29, ""gas_flow_sccm"": 384.3}",89.43,220,1.199,completed,2026-07-28
SEMI-0055,PJ-0005,MDL-0026,"{""temperature_c"": 176.2, ""pressure_mbar"": 1.96, ""gas_flow_sccm"": 333.3}",89.74,51,2.937,completed,2026-08-15
SEMI-0056,PJ-0005,MDL-0021,"{""temperature_c"": 207.9, ""pressure_mbar"": 5.01, ""gas_flow_sccm"": 94.4}",98.07,205,1.514,completed,2026-04-21
SEMI-0057,PJ-0005,MDL-0037,"{""temperature_c"": 366.2, ""pressure_mbar"": 1.39, ""gas_flow_sccm"": 136.3}",88.49,159,4.459,completed,2026-07-22
SEMI-0058,PJ-0005,MDL-0022,"{""temperature_c"": 418.5, ""pressure_mbar"": 5.04, ""gas_flow_sccm"": 372.8}",97.32,64,2.419,completed,2026-07-07
SEMI-0059,PJ-0005,MDL-0009,"{""temperature_c"": 200.1, ""pressure_mbar"": 3.47, ""gas_flow_sccm"": 485.4}",82.1,61,3.974,completed,2026-06-10
SEMI-0060,PJ-0005,MDL-0026,"{""temperature_c"": 355.4, ""pressure_mbar"": 8.83, ""gas_flow_sccm"": 487.2}",79.06,290,1.927,completed,2026-06-11
