event_id,project_id,vessel_id,operation_type,start_time,end_time,duration_min,bottleneck_flag,case_id
PORT-0049,PJ-0006,VESSEL-004,vessel_arrival,2026-04-23T13:23:00,2026-04-23T14:00:00,37,False,CASE-022
PORT-0050,PJ-0006,VESSEL-001,berth_assignment,2026-04-16T19:55:00,2026-04-16T21:25:00,90,False,CASE-005
PORT-0051,PJ-0006,VESSEL-001,customs_clearance,2026-04-05T02:15:00,2026-04-05T03:04:00,49,False,CASE-019
PORT-0052,PJ-0006,VESSEL-005,container_load,2026-04-05T05:30:00,2026-04-05T12:00:00,390,True,CASE-024
PORT-0053,PJ-0006,VESSEL-015,container_unload,2026-04-16T13:46:00,2026-04-16T16:48:00,182,False,CASE-026
PORT-0054,PJ-0006,VESSEL-002,vessel_arrival,2026-04-10T03:09:00,2026-04-10T03:49:00,40,False,CASE-020
PORT-0055,PJ-0006,VESSEL-014,crane_start,2026-04-17T05:00:00,2026-04-17T08:32:00,212,False,CASE-022
PORT-0056,PJ-0006,VESSEL-019,vessel_departure,2026-04-18T22:53:00,2026-04-19T01:15:00,142,False,CASE-017
PORT-0057,PJ-0006,VESSEL-009,container_unload,2026-04-23T07:27:00,2026-04-23T08:57:00,90,False,CASE-003
PORT-0058,PJ-0006,VESSEL-020,container_load,2026-04-05T23:13:00,2026-04-06T02:48:00,215,False,CASE-002
PORT-0059,PJ-0006,VESSEL-018,crane_end,2026-04-13T05:52:00,2026-04-13T12:23:00,391,True,CASE-020
PORT-0060,PJ-0006,VESSEL-011,berth_assignment,2026-04-27T22:29:00,2026-04-28T02:43:00,254,False,CASE-021
PORT-0061,PJ-0006,VESSEL-012,container_load,2026-04-27T12:10:00,2026-04-27T12:47:00,37,False,CASE-021
PORT-0062,PJ-0006,VESSEL-003,container_load,2026-04-07T08:06:00,2026-04-07T09:09:00,63,False,CASE-012
PORT-0063,PJ-0006,VESSEL-018,customs_clearance,2026-04-01T07:18:00,2026-04-01T08:51:00,93,False,CASE-004
PORT-0064,PJ-0006,VESSEL-010,berth_assignment,2026-04-07T19:00:00,2026-04-08T01:37:00,397,True,CASE-007
PORT-0065,PJ-0006,VESSEL-003,crane_end,2026-04-21T01:15:00,2026-04-21T03:42:00,147,False,CASE-019
PORT-0066,PJ-0006,VESSEL-011,vessel_arrival,2026-04-19T15:02:00,2026-04-19T15:36:00,34,False,CASE-003
PORT-0067,PJ-0006,VESSEL-013,container_unload,2026-04-01T11:48:00,2026-04-01T14:22:00,154,False,CASE-017
PORT-0068,PJ-0006,VESSEL-005,crane_end,2026-04-11T12:46:00,2026-04-11T15:58:00,192,False,CASE-023
PORT-0069,PJ-0006,VESSEL-017,berth_assignment,2026-04-11T13:57:00,2026-04-11T20:26:00,389,True,CASE-004
PORT-0070,PJ-0006,VESSEL-016,crane_start,2026-04-01T18:50:00,2026-04-01T22:15:00,205,False,CASE-019
PORT-0071,PJ-0006,VESSEL-015,vessel_arrival,2026-04-10T05:09:00,2026-04-10T11:08:00,359,True,CASE-003
PORT-0072,PJ-0006,VESSEL-005,berth_assignment,2026-04-23T07:56:00,2026-04-23T09:56:00,120,False,CASE-025
PORT-0073,PJ-0006,VESSEL-017,crane_start,2026-04-17T16:46:00,2026-04-17T22:07:00,321,True,CASE-030
PORT-0074,PJ-0006,VESSEL-012,customs_clearance,2026-04-15T04:21:00,2026-04-15T06:59:00,158,True,CASE-020
PORT-0075,PJ-0006,VESSEL-013,container_load,2026-04-02T22:49:00,2026-04-03T04:48:00,359,True,CASE-008
PORT-0076,PJ-0006,VESSEL-019,crane_end,2026-04-20T19:04:00,2026-04-20T20:32:00,88,False,CASE-021
PORT-0077,PJ-0006,VESSEL-010,vessel_departure,2026-04-04T00:09:00,2026-04-04T06:51:00,402,True,CASE-018
PORT-0078,PJ-0006,VESSEL-006,berth_assignment,2026-04-16T03:29:00,2026-04-16T06:19:00,170,False,CASE-030
PORT-0079,PJ-0006,VESSEL-012,container_unload,2026-04-06T02:17:00,2026-04-06T07:22:00,305,True,CASE-012
PORT-0080,PJ-0006,VESSEL-015,berth_assignment,2026-04-03T05:45:00,2026-04-03T12:30:00,405,True,CASE-009
PORT-0081,PJ-0006,VESSEL-004,vessel_departure,2026-04-09T14:41:00,2026-04-09T16:02:00,81,False,CASE-019
PORT-0082,PJ-0006,VESSEL-013,vessel_departure,2026-04-02T11:54:00,2026-04-02T14:30:00,156,False,CASE-014
PORT-0083,PJ-0006,VESSEL-020,crane_start,2026-04-15T11:32:00,2026-04-15T18:54:00,442,True,CASE-011
PORT-0084,PJ-0006,VESSEL-015,customs_clearance,2026-04-03T21:26:00,2026-04-04T01:55:00,269,True,CASE-009
PORT-0085,PJ-0006,VESSEL-008,vessel_arrival,2026-04-20T20:03:00,2026-04-21T02:32:00,389,True,CASE-023
PORT-0086,PJ-0006,VESSEL-006,vessel_arrival,2026-04-05T03:18:00,2026-04-05T06:40:00,202,False,CASE-019
PORT-0087,PJ-0006,VESSEL-015,container_load,2026-04-28T02:14:00,2026-04-28T05:42:00,208,False,CASE-022
PORT-0088,PJ-0006,VESSEL-018,berth_assignment,2026-04-12T14:29:00,2026-04-12T20:07:00,338,True,CASE-029
PORT-0089,PJ-0006,VESSEL-004,vessel_departure,2026-04-04T02:11:00,2026-04-04T08:35:00,384,True,CASE-030
PORT-0090,PJ-0006,VESSEL-011,container_load,2026-04-25T13:12:00,2026-04-25T16:47:00,215,False,CASE-003
PORT-0091,PJ-0006,VESSEL-016,customs_clearance,2026-04-11T19:31:00,2026-04-11T21:29:00,118,False,CASE-004
PORT-0092,PJ-0006,VESSEL-016,container_unload,2026-04-15T01:34:00,2026-04-15T03:03:00,89,False,CASE-005
PORT-0093,PJ-0006,VESSEL-013,crane_end,2026-04-11T18:02:00,2026-04-11T23:19:00,317,True,CASE-002
PORT-0094,PJ-0006,VESSEL-002,customs_clearance,2026-04-26T13:30:00,2026-04-26T15:29:00,119,False,CASE-007
PORT-0095,PJ-0006,VESSEL-009,vessel_arrival,2026-04-25T21:27:00,2026-04-25T23:55:00,148,False,CASE-021
PORT-0096,PJ-0006,VESSEL-013,crane_start,2026-04-03T04:04:00,2026-04-03T06:34:00,150,False,CASE-003
PORT-0097,PJ-0006,VESSEL-014,container_unload,2026-04-28T22:28:00,2026-04-29T06:04:00,456,True,CASE-017
PORT-0098,PJ-0006,VESSEL-002,crane_end,2026-04-22T08:11:00,2026-04-22T15:26:00,435,True,CASE-003
PORT-0099,PJ-0006,VESSEL-012,container_load,2026-04-11T09:10:00,2026-04-11T11:01:00,111,False,CASE-014
PORT-0100,PJ-0006,VESSEL-006,vessel_departure,2026-04-16T17:44:00,2026-04-17T00:35:00,411,True,CASE-023
PORT-0101,PJ-0006,VESSEL-001,container_load,2026-04-12T22:36:00,2026-04-13T02:05:00,209,False,CASE-018
PORT-0102,PJ-0006,VESSEL-020,crane_end,2026-04-03T23:42:00,2026-04-04T04:48:00,306,True,CASE-005
PORT-0103,PJ-0006,VESSEL-011,customs_clearance,2026-04-22T23:47:00,2026-04-23T06:59:00,432,True,CASE-001
PORT-0104,PJ-0006,VESSEL-016,crane_start,2026-04-29T14:59:00,2026-04-29T16:24:00,85,False,CASE-028
PORT-0105,PJ-0006,VESSEL-017,customs_clearance,2026-04-04T21:26:00,2026-04-04T23:50:00,144,True,CASE-024
PORT-0106,PJ-0006,VESSEL-019,vessel_arrival,2026-04-15T04:40:00,2026-04-15T08:40:00,240,False,CASE-004
PORT-0107,PJ-0006,VESSEL-018,vessel_arrival,2026-04-07T23:12:00,2026-04-08T02:57:00,225,False,CASE-025
PORT-0108,PJ-0006,VESSEL-007,crane_start,2026-04-20T12:13:00,2026-04-20T15:21:00,188,False,CASE-007
PORT-0109,PJ-0006,VESSEL-010,vessel_arrival,2026-04-12T11:01:00,2026-04-12T13:45:00,164,False,CASE-017
PORT-0110,PJ-0006,VESSEL-014,berth_assignment,2026-04-23T15:41:00,2026-04-23T19:44:00,243,False,CASE-014
PORT-0111,PJ-0006,VESSEL-011,customs_clearance,2026-04-12T17:27:00,2026-04-12T22:04:00,277,True,CASE-004
PORT-0112,PJ-0006,VESSEL-018,crane_start,2026-04-15T13:23:00,2026-04-15T15:03:00,100,False,CASE-020
PORT-0113,PJ-0006,VESSEL-014,crane_start,2026-04-18T13:24:00,2026-04-18T15:59:00,155,False,CASE-021
PORT-0114,PJ-0006,VESSEL-004,container_unload,2026-04-23T19:59:00,2026-04-24T03:52:00,473,True,CASE-003
PORT-0115,PJ-0006,VESSEL-014,berth_assignment,2026-04-03T20:01:00,2026-04-04T01:26:00,325,True,CASE-004
PORT-0116,PJ-0006,VESSEL-004,vessel_departure,2026-04-24T19:59:00,2026-04-25T00:47:00,288,False,CASE-021
PORT-0117,PJ-0006,VESSEL-010,vessel_departure,2026-04-17T18:51:00,2026-04-17T19:17:00,26,False,CASE-028
PORT-0118,PJ-0006,VESSEL-018,container_load,2026-04-07T07:49:00,2026-04-07T11:51:00,242,False,CASE-013
PORT-0119,PJ-0006,VESSEL-015,berth_assignment,2026-04-07T15:07:00,2026-04-07T18:16:00,189,False,CASE-014
PORT-0120,PJ-0006,VESSEL-017,container_load,2026-04-01T11:50:00,2026-04-01T13:54:00,124,False,CASE-010
