anomaly_id,project_id,dataset_id,model_id,experiment_id,timestamp,anomaly_type,severity,anomaly_score,detected_by,confirmed,resolution
ANOM-0036,PJ-0008,DS-0016,MDL-0027,EXP-0004,2026-04-30T01:00:00,contextual_anomaly,medium,0.873,NormalizingFlow,False,false_positive
ANOM-0037,PJ-0008,DS-0037,MDL-0003,EXP-0015,2026-04-19T16:00:00,collective_anomaly,high,0.978,IsolationForest,False,false_positive
ANOM-0038,PJ-0008,DS-0016,MDL-0023,EXP-0039,2026-04-15T00:00:00,seasonal_deviation,medium,0.966,LSTM_model,True,acknowledged
ANOM-0039,PJ-0008,DS-0037,MDL-0003,EXP-0020,2026-04-02T09:00:00,trend_shift,medium,0.631,threshold_rule,True,pending
ANOM-0040,PJ-0008,DS-0033,MDL-0023,EXP-0004,2026-06-19T02:00:00,level_shift,low,0.674,IsolationForest,True,pending
ANOM-0041,PJ-0008,DS-0037,MDL-0023,EXP-0003,2026-05-08T15:00:00,collective_anomaly,medium,0.548,threshold_rule,False,pending
ANOM-0042,PJ-0008,DS-0016,MDL-0023,EXP-0020,2026-05-05T08:00:00,contextual_anomaly,medium,0.759,threshold_rule,True,acknowledged
ANOM-0043,PJ-0008,DS-0037,MDL-0003,EXP-0064,2026-04-22T05:00:00,point_anomaly,medium,0.556,LSTM_model,True,false_positive
ANOM-0044,PJ-0008,DS-0016,MDL-0031,EXP-0004,2026-04-24T12:00:00,contextual_anomaly,high,0.692,LSTM_model,True,root_cause_found
ANOM-0045,PJ-0008,DS-0033,MDL-0004,EXP-0015,2026-06-07T01:00:00,contextual_anomaly,medium,0.812,NormalizingFlow,False,acknowledged
ANOM-0046,PJ-0008,DS-0016,MDL-0031,EXP-0069,2026-05-24T02:00:00,trend_shift,medium,0.918,IsolationForest,True,acknowledged
ANOM-0047,PJ-0008,DS-0016,MDL-0004,EXP-0030,2026-06-16T18:00:00,trend_shift,medium,0.971,threshold_rule,True,acknowledged
ANOM-0048,PJ-0008,DS-0016,MDL-0023,EXP-0004,2026-04-15T13:00:00,seasonal_deviation,low,0.791,threshold_rule,True,pending
ANOM-0049,PJ-0008,DS-0016,MDL-0027,EXP-0004,2026-04-04T20:00:00,point_anomaly,medium,0.909,IsolationForest,False,acknowledged
ANOM-0050,PJ-0008,DS-0016,MDL-0023,EXP-0082,2026-06-02T19:00:00,collective_anomaly,high,0.74,NormalizingFlow,False,root_cause_found
ANOM-0051,PJ-0008,DS-0037,MDL-0027,EXP-0021,2026-05-02T02:00:00,trend_shift,low,0.906,NormalizingFlow,False,pending
ANOM-0052,PJ-0008,DS-0016,MDL-0023,EXP-0064,2026-05-15T07:00:00,seasonal_deviation,low,0.572,threshold_rule,False,false_positive
ANOM-0053,PJ-0008,DS-0033,MDL-0027,EXP-0003,2026-04-21T20:00:00,level_shift,high,0.676,LSTM_model,True,pending
ANOM-0054,PJ-0008,DS-0037,MDL-0003,EXP-0021,2026-06-14T20:00:00,seasonal_deviation,high,0.984,IsolationForest,True,root_cause_found
ANOM-0055,PJ-0008,DS-0033,MDL-0027,EXP-0050,2026-05-06T14:00:00,collective_anomaly,medium,0.593,NormalizingFlow,False,acknowledged
ANOM-0056,PJ-0008,DS-0033,MDL-0027,EXP-0050,2026-06-22T14:00:00,collective_anomaly,medium,0.554,LSTM_model,True,false_positive
ANOM-0057,PJ-0008,DS-0033,MDL-0040,EXP-0015,2026-05-15T15:00:00,collective_anomaly,medium,0.649,NormalizingFlow,True,root_cause_found
ANOM-0058,PJ-0008,DS-0016,MDL-0027,EXP-0003,2026-04-19T13:00:00,collective_anomaly,low,0.526,NormalizingFlow,True,root_cause_found
ANOM-0059,PJ-0008,DS-0037,MDL-0003,EXP-0003,2026-04-22T10:00:00,contextual_anomaly,medium,0.931,IsolationForest,False,root_cause_found
ANOM-0060,PJ-0008,DS-0016,MDL-0040,EXP-0020,2026-05-07T20:00:00,level_shift,low,0.642,LSTM_model,True,root_cause_found
ANOM-0061,PJ-0008,DS-0016,MDL-0040,EXP-0064,2026-05-03T23:00:00,trend_shift,high,0.974,LSTM_model,False,root_cause_found
ANOM-0062,PJ-0008,DS-0037,MDL-0023,EXP-0015,2026-05-19T02:00:00,trend_shift,medium,0.894,IsolationForest,True,false_positive
ANOM-0063,PJ-0008,DS-0033,MDL-0004,EXP-0039,2026-05-18T07:00:00,contextual_anomaly,medium,0.649,NormalizingFlow,True,pending
ANOM-0064,PJ-0008,DS-0037,MDL-0004,EXP-0039,2026-06-06T18:00:00,trend_shift,low,0.568,threshold_rule,True,root_cause_found
ANOM-0065,PJ-0008,DS-0033,MDL-0023,EXP-0039,2026-05-10T19:00:00,trend_shift,high,0.726,LSTM_model,False,pending
ANOM-0066,PJ-0008,DS-0016,MDL-0004,EXP-0050,2026-06-17T09:00:00,collective_anomaly,medium,0.784,NormalizingFlow,True,root_cause_found
ANOM-0067,PJ-0008,DS-0016,MDL-0027,EXP-0015,2026-05-05T09:00:00,seasonal_deviation,low,0.727,threshold_rule,False,acknowledged
ANOM-0068,PJ-0008,DS-0016,MDL-0023,EXP-0106,2026-05-26T10:00:00,point_anomaly,medium,0.791,NormalizingFlow,True,root_cause_found
ANOM-0069,PJ-0008,DS-0016,MDL-0003,EXP-0069,2026-05-20T21:00:00,seasonal_deviation,low,0.844,IsolationForest,True,pending
ANOM-0070,PJ-0008,DS-0016,MDL-0004,EXP-0064,2026-05-25T14:00:00,contextual_anomaly,medium,0.808,LSTM_model,False,false_positive
ANOM-0071,PJ-0008,DS-0016,MDL-0003,EXP-0003,2026-04-14T01:00:00,level_shift,low,0.755,IsolationForest,True,pending
ANOM-0072,PJ-0008,DS-0016,MDL-0031,EXP-0041,2026-05-04T08:00:00,point_anomaly,low,0.647,threshold_rule,False,false_positive
ANOM-0073,PJ-0008,DS-0037,MDL-0023,EXP-0106,2026-05-23T06:00:00,seasonal_deviation,high,0.921,LSTM_model,True,acknowledged
ANOM-0074,PJ-0008,DS-0016,MDL-0004,EXP-0106,2026-06-03T12:00:00,seasonal_deviation,medium,0.584,IsolationForest,True,root_cause_found
ANOM-0075,PJ-0008,DS-0033,MDL-0040,EXP-0004,2026-06-21T20:00:00,level_shift,high,0.68,NormalizingFlow,True,acknowledged
ANOM-0076,PJ-0008,DS-0033,MDL-0027,EXP-0106,2026-05-07T06:00:00,contextual_anomaly,low,0.639,LSTM_model,True,acknowledged
ANOM-0077,PJ-0008,DS-0037,MDL-0023,EXP-0003,2026-05-26T01:00:00,seasonal_deviation,high,0.521,NormalizingFlow,False,pending
ANOM-0078,PJ-0008,DS-0037,MDL-0027,EXP-0021,2026-04-01T18:00:00,contextual_anomaly,medium,0.745,IsolationForest,True,pending
ANOM-0079,PJ-0008,DS-0037,MDL-0003,EXP-0015,2026-05-26T23:00:00,contextual_anomaly,medium,0.821,NormalizingFlow,True,false_positive
ANOM-0080,PJ-0008,DS-0033,MDL-0040,EXP-0021,2026-06-18T19:00:00,trend_shift,low,0.949,threshold_rule,True,pending
